Contact_pair,HiChip1,HiChip2,Contact_group_HiChip
chr16_91440000to91450000andchr16_91460000to91470000,4.0,1.5,2TnG
chr19_11480000to11490000andchr19_11490000to11500000,4.0,3.5,2TnG
chr2_61490000to61500000andchr2_61500000to61510000,4.0,4.5,2TnG
chr1_61030000to61040000andchr1_61040000to61050000,4.0,5.0,2TnG
chr10_42880000to42890000andchr10_42890000to42900000,3.5,2.5,2TnG
chr2_31060000to31070000andchr2_31080000to31090000,3.5,2.5,2TnG
chr5_107250000to107260000andchr5_107260000to107270000,3.5,2.0,2TnG
chr5_107720000to107730000andchr5_107750000to107760000,3.5,4.0,2TnG
chr3_131140000to131150000andchr3_131190000to131200000,3.5,0.0,2TnG
chr3_131140000to131150000andchr3_131150000to131160000,3.5,5.5,2TnG
chr10_96370000to96380000andchr10_96400000to96410000,3.5,1.5,2TnG
chr1_60910000to60920000andchr1_60930000to60940000,3.5,1.5,2TnG
chr11_106660000to106670000andchr11_106680000to106690000,3.5,2.0,2TnG
chr10_14050000to14060000andchr10_14080000to14090000,3.5,2.0,2TnG
chr1_88640000to88650000andchr1_88650000to88660000,3.5,4.0,2TnG
chr10_96370000to96380000andchr10_96410000to96420000,3.5,2.0,2TnG
chr3_115790000to115800000andchr3_115800000to115810000,3.5,5.5,2TnG
chr1_60900000to60910000andchr1_60910000to60920000,3.5,2.0,2TnG
chr6_136540000to136550000andchr6_136550000to136560000,3.5,5.5,2TnG
chr10_96590000to96600000andchr10_96610000to96620000,3.5,0.0,2TnG
chr8_14980000to14990000andchr8_15020000to15030000,3.5,2.0,2TnG
chr10_19160000to19170000andchr10_19170000to19180000,3.5,3.5,2TnG
chr1_161870000to161880000andchr1_161880000to161890000,3.5,2.0,2TnG
chr4_59250000to59260000andchr4_59270000to59280000,3.5,1.5,2TnG
chr7_75800000to75810000andchr7_75820000to75830000,3.5,1.5,2TnG
chr1_180360000to180370000andchr1_180380000to180390000,3.5,3.0,2TnG
chr4_102510000to102520000andchr4_102560000to102570000,3.5,2.0,2TnG
chr6_99400000to99410000andchr6_99430000to99440000,3.5,0.0,2TnG
chr7_102320000to102330000andchr7_102330000to102340000,3.5,3.0,2TnG
chr17_47500000to47510000andchr17_47530000to47540000,3.5,2.5,2TnG
chr4_59250000to59260000andchr4_59330000to59340000,3.5,1.5,2TnG
chr2_11200000to11210000andchr2_11210000to11220000,3.5,5.0,2TnG
chr1_69750000to69760000andchr1_69760000to69770000,3.5,4.5,2TnG
chr4_32050000to32060000andchr4_32570000to32580000,3.5,2.0,2TnG
chr17_50460000to50470000andchr17_50470000to50480000,3.5,4.5,2TnG
chr13_5840000to5850000andchr13_5860000to5870000,3.5,1.5,2TnG
chr5_64770000to64780000andchr5_64800000to64810000,3.5,0.0,2TnG
chr7_68260000to68270000andchr7_68270000to68280000,3.5,2.5,2TnG
chr5_65880000to65890000andchr5_65920000to65930000,3.5,1.5,2TnG
chr7_127280000to127290000andchr7_127290000to127300000,3.5,3.0,2TnG
chr13_24600000to24610000andchr13_24640000to24650000,3.5,4.0,2TnG
chr16_92810000to92820000andchr16_92820000to92830000,3.5,3.0,2TnG
chr2_58150000to58160000andchr2_58160000to58170000,3.5,4.0,2TnG
chr7_75790000to75800000andchr7_75800000to75810000,3.5,2.0,2TnG
chr6_129210000to129220000andchr6_129230000to129240000,3.5,5.0,2TnG
chr10_127150000to127160000andchr10_127160000to127170000,3.5,4.0,2TnG
chr6_129210000to129220000andchr6_129240000to129250000,3.5,4.5,2TnG
chr1_136600000to136610000andchr1_136610000to136620000,3.5,4.5,2TnG
chr6_50370000to50380000andchr6_50380000to50390000,3.5,2.0,2TnG
chr1_106600000to106610000andchr1_106610000to106620000,3.5,5.5,2TnG
chr9_32690000to32700000andchr9_32720000to32730000,3.5,2.0,2TnG
chr1_60740000to60750000andchr1_60770000to60780000,3.5,0.0,2TnG
chr15_60110000to60120000andchr15_60130000to60140000,3.5,4.0,2TnG
chr14_121930000to121940000andchr14_121950000to121960000,3.5,3.0,2TnG
chr10_122780000to122790000andchr10_122790000to122800000,3.5,2.5,2TnG
chr15_96630000to96640000andchr15_96640000to96650000,3.5,3.5,2TnG
chr6_70820000to70830000andchr6_70840000to70850000,3.5,2.5,2TnG
chr18_6500000to6510000andchr18_6510000to6520000,3.5,4.5,2TnG
chr6_125210000to125220000andchr6_125220000to125230000,3.5,3.5,2TnG
chr9_56320000to56330000andchr9_56410000to56420000,3.5,0.0,2TnG
chr1_144290000to144300000andchr1_144300000to144310000,3.5,2.5,2TnG
chr1_127230000to127240000andchr1_127240000to127250000,3.5,1.5,2TnG
chr9_32700000to32710000andchr9_32720000to32730000,3.5,2.5,2TnG
chr1_161750000to161760000andchr1_161760000to161770000,3.5,7.5,2TnG
chr11_48770000to48780000andchr11_48780000to48790000,3.5,0.0,2TnG
chr18_75410000to75420000andchr18_75420000to75430000,3.5,5.0,2TnG
chr1_161710000to161720000andchr1_161730000to161740000,3.5,5.0,2TnG
chr10_12800000to12810000andchr10_12810000to12820000,3.5,5.5,2TnG
chr11_3320000to3330000andchr11_3330000to3340000,3.5,3.0,2TnG
chr2_132500000to132510000andchr2_132510000to132520000,3.5,4.0,2TnG
chr16_45220000to45230000andchr16_45250000to45260000,3.5,6.0,2TnG
chr14_101470000to101480000andchr14_101480000to101490000,3.5,2.0,2TnG
chr1_160040000to160050000andchr1_160050000to160060000,3.5,6.5,2TnG
chr5_37050000to37060000andchr5_37060000to37070000,3.0,4.0,2TnG
chr1_173590000to173600000andchr1_173600000to173610000,3.0,1.5,2TnG
chr1_79750000to79760000andchr1_79760000to79770000,3.0,3.5,2TnG
chr10_127120000to127130000andchr10_127150000to127160000,3.0,0.0,2TnG
chr1_180330000to180340000andchr1_180400000to180410000,3.0,2.0,2TnG
chr6_99250000to99260000andchr6_99260000to99270000,3.0,1.5,2TnG
chr10_68190000to68200000andchr10_68270000to68280000,3.0,0.0,2TnG
chr12_80790000to80800000andchr12_80800000to80810000,3.0,3.0,2TnG
chr4_149650000to149660000andchr4_149700000to149710000,3.0,7.0,2TnG
chr6_108540000to108550000andchr6_108550000to108560000,3.0,2.5,2TnG
chr1_180250000to180260000andchr1_180360000to180370000,3.0,0.0,2TnG
chr12_80800000to80810000andchr12_80810000to80820000,3.0,3.5,2TnG
chr1_94030000to94040000andchr1_94070000to94080000,3.0,1.5,2TnG
chr17_88050000to88060000andchr17_88060000to88070000,3.0,3.5,2TnG
chr10_81500000to81510000andchr10_81510000to81520000,3.0,4.0,2TnG
chr6_129240000to129250000andchr6_129280000to129290000,3.0,2.0,2TnG
chr11_98480000to98490000andchr11_98510000to98520000,3.0,1.5,2TnG
chr7_4850000to4860000andchr7_4860000to4870000,3.0,5.0,2TnG
chr5_134230000to134240000andchr5_134330000to134340000,3.0,2.0,2TnG
chr4_128600000to128610000andchr4_128610000to128620000,3.0,1.5,2TnG
chr10_96590000to96600000andchr10_96600000to96610000,3.0,3.5,2TnG
chr11_100820000to100830000andchr11_100840000to100850000,3.0,3.0,2TnG
chr6_48680000to48690000andchr6_48700000to48710000,3.0,0.0,2TnG
chr5_122990000to123000000andchr5_123040000to123050000,3.0,2.0,2TnG
chr6_48680000to48690000andchr6_48730000to48740000,3.0,2.0,2TnG
chr17_72910000to72920000andchr17_72930000to72940000,3.0,2.5,2TnG
chr6_83000000to83010000andchr6_83050000to83060000,3.0,0.0,2TnG
chr10_96610000to96620000andchr10_96620000to96630000,3.0,3.5,2TnG
chr11_106750000to106760000andchr11_106770000to106780000,3.0,5.0,2TnG
chr11_107440000to107450000andchr11_107450000to107460000,3.0,4.5,2TnG
chr7_58700000to58710000andchr7_58710000to58720000,3.0,3.5,2TnG
chr1_143800000to143810000andchr1_144000000to144010000,3.0,0.0,2TnG
chr11_118140000to118150000andchr11_118220000to118230000,3.0,2.0,2TnG
chr6_31150000to31160000andchr6_31180000to31190000,3.0,4.0,2TnG
chr5_100580000to100590000andchr5_100590000to100600000,3.0,2.0,2TnG
chr11_58920000to58930000andchr11_58950000to58960000,3.0,3.5,2TnG
chr1_164060000to164070000andchr1_164130000to164140000,3.0,2.5,2TnG
chr12_51840000to51850000andchr12_51860000to51870000,3.0,0.0,2TnG
chr10_68190000to68200000andchr10_68200000to68210000,3.0,3.0,2TnG
chr14_75170000to75180000andchr14_75190000to75200000,3.0,2.0,2TnG
chr13_111790000to111800000andchr13_111800000to111810000,3.0,4.0,2TnG
chr1_60900000to60910000andchr1_60930000to60940000,3.0,1.5,2TnG
chr8_81490000to81500000andchr8_81760000to81770000,3.0,3.0,2TnG
chr2_31060000to31070000andchr2_31110000to31120000,3.0,2.5,2TnG
chr14_27340000to27350000andchr14_27350000to27360000,3.0,4.0,2TnG
chr14_27370000to27380000andchr14_27380000to27390000,3.0,5.0,2TnG
chr1_69590000to69600000andchr1_69610000to69620000,3.0,7.5,2TnG
chr1_60890000to60900000andchr1_60930000to60940000,3.0,2.0,2TnG
chr10_13990000to14000000andchr10_14040000to14050000,3.0,2.0,2TnG
chr10_13960000to13970000andchr10_14080000to14090000,3.0,2.0,2TnG
chr14_66230000to66240000andchr14_66260000to66270000,3.0,0.0,2TnG
chr10_13960000to13970000andchr10_13990000to14000000,3.0,1.5,2TnG
chr2_58160000to58170000andchr2_58170000to58180000,3.0,3.5,2TnG
chr8_72260000to72270000andchr8_72270000to72280000,3.0,2.0,2TnG
chr2_58160000to58170000andchr2_58180000to58190000,3.0,0.0,2TnG
chr8_123020000to123030000andchr8_123030000to123040000,3.0,3.0,2TnG
chr19_11430000to11440000andchr19_11510000to11520000,3.0,2.5,2TnG
chr16_57490000to57500000andchr16_57510000to57520000,3.0,2.0,2TnG
chr8_126830000to126840000andchr8_126860000to126870000,3.0,2.5,2TnG
chr3_65920000to65930000andchr3_65930000to65940000,3.0,5.0,2TnG
chr9_32590000to32600000andchr9_32610000to32620000,3.0,2.0,2TnG
chr15_102400000to102410000andchr15_102420000to102430000,3.0,0.0,2TnG
chr9_32650000to32660000andchr9_32690000to32700000,3.0,0.0,2TnG
chr19_53420000to53430000andchr19_53440000to53450000,3.0,3.5,2TnG
chr1_53770000to53780000andchr1_53790000to53800000,3.0,6.0,2TnG
chr9_32700000to32710000andchr9_32920000to32930000,3.0,1.5,2TnG
chr10_18950000to18960000andchr10_18960000to18970000,3.0,0.0,2TnG
chr6_99630000to99640000andchr6_99640000to99650000,3.0,4.5,2TnG
chr8_35590000to35600000andchr8_35630000to35640000,3.0,1.5,2TnG
chr13_3520000to3530000andchr13_3530000to3540000,3.0,4.5,2TnG
chr10_41880000to41890000andchr10_41890000to41900000,3.0,2.0,2TnG
chr10_19010000to19020000andchr10_19060000to19070000,3.0,2.0,2TnG
chr7_125480000to125490000andchr7_125630000to125640000,3.0,0.0,2TnG
chr4_59270000to59280000andchr4_59320000to59330000,3.0,1.5,2TnG
chr4_59270000to59280000andchr4_59330000to59340000,3.0,2.0,2TnG
chr13_43760000to43770000andchr13_43770000to43780000,3.0,3.0,2TnG
chr13_23510000to23520000andchr13_23530000to23540000,3.0,2.0,2TnG
chr4_59160000to59170000andchr4_59170000to59180000,3.0,4.0,2TnG
chr10_19100000to19110000andchr10_19110000to19120000,3.0,3.0,2TnG
chr1_180380000to180390000andchr1_180400000to180410000,3.0,0.0,2TnG
chr4_62350000to62360000andchr4_62400000to62410000,3.0,2.5,2TnG
chr19_11360000to11370000andchr19_11370000to11380000,3.0,4.5,2TnG
chr1_125430000to125440000andchr1_125460000to125470000,2.5,1.5,2TnG
chr10_68230000to68240000andchr10_68270000to68280000,2.5,2.5,2TnG
chr1_87750000to87760000andchr1_87840000to87850000,2.5,2.0,2TnG
chr9_96390000to96400000andchr9_96400000to96410000,2.5,0.0,2TnG
chr6_125220000to125230000andchr6_125240000to125250000,2.5,1.5,2TnG
chr1_60740000to60750000andchr1_60760000to60770000,2.5,2.0,2TnG
chr1_60750000to60760000andchr1_60770000to60780000,2.5,4.0,2TnG
chr9_78400000to78410000andchr9_78440000to78450000,2.5,1.5,2TnG
chr9_32610000to32620000andchr9_32910000to32920000,2.5,2.5,2TnG
chr9_63710000to63720000andchr9_63730000to63740000,2.5,2.5,2TnG
chr9_32610000to32620000andchr9_32650000to32660000,2.5,2.5,2TnG
chr1_128590000to128600000andchr1_128600000to128610000,2.5,3.5,2TnG
chr8_124240000to124250000andchr8_124270000to124280000,2.5,3.0,2TnG
chr9_45980000to45990000andchr9_46170000to46180000,2.5,1.5,2TnG
chr7_104280000to104290000andchr7_104290000to104300000,2.5,0.0,2TnG
chr10_68200000to68210000andchr10_68240000to68250000,2.5,0.0,2TnG
chr18_56440000to56450000andchr18_56470000to56480000,2.5,0.0,2TnG
chr9_32930000to32940000andchr9_32940000to32950000,2.5,3.0,2TnG
chr7_75780000to75790000andchr7_75790000to75800000,2.5,4.0,2TnG
chr9_32700000to32710000andchr9_32930000to32940000,2.5,0.0,2TnG
chr11_6410000to6420000andchr11_6440000to6450000,2.5,3.0,2TnG
chr1_128760000to128770000andchr1_128780000to128790000,2.5,3.0,2TnG
chr7_112200000to112210000andchr7_112210000to112220000,2.5,2.0,2TnG
chr1_106310000to106320000andchr1_106320000to106330000,2.5,3.0,2TnG
chr6_129180000to129190000andchr6_129230000to129240000,2.5,4.5,2TnG
chr6_136510000to136520000andchr6_136550000to136560000,2.5,1.5,2TnG
chr7_30530000to30540000andchr7_30550000to30560000,2.5,3.0,2TnG
chr8_47690000to47700000andchr8_47710000to47720000,2.5,2.5,2TnG
chr8_81490000to81500000andchr8_81500000to81510000,2.5,4.5,2TnG
chr10_19060000to19070000andchr10_19170000to19180000,2.5,0.0,2TnG
chr10_96370000to96380000andchr10_96620000to96630000,2.5,1.5,2TnG
chr10_96400000to96410000andchr10_96590000to96600000,2.5,0.0,2TnG
chr10_91150000to91160000andchr10_91180000to91190000,2.5,2.0,2TnG
chr8_81490000to81500000andchr8_81770000to81780000,2.5,2.0,2TnG
chr8_81500000to81510000andchr8_81700000to81710000,2.5,0.0,2TnG
chr10_19100000to19110000andchr10_19180000to19190000,2.5,0.0,2TnG
chr1_92050000to92060000andchr1_92060000to92070000,2.5,2.5,2TnG
chr6_136510000to136520000andchr6_136540000to136550000,2.5,0.0,2TnG
chr6_129180000to129190000andchr6_129240000to129250000,2.5,2.0,2TnG
chr7_127180000to127190000andchr7_127200000to127210000,2.5,0.0,2TnG
chr8_111560000to111570000andchr8_111570000to111580000,2.5,6.0,2TnG
chr8_111560000to111570000andchr8_111590000to111600000,2.5,4.0,2TnG
chr10_80430000to80440000andchr10_80440000to80450000,2.5,2.0,2TnG
chr10_19490000to19500000andchr10_19500000to19510000,2.5,3.0,2TnG
chr8_122930000to122940000andchr8_123000000to123010000,2.5,0.0,2TnG
chr10_79980000to79990000andchr10_80010000to80020000,2.5,0.0,2TnG
chr6_134890000to134900000andchr6_134920000to134930000,2.5,1.5,2TnG
chr1_36260000to36270000andchr1_36300000to36310000,2.5,0.0,2TnG
chr10_19000000to19010000andchr10_19160000to19170000,2.5,0.0,2TnG
chr7_73550000to73560000andchr7_73610000to73620000,2.5,5.0,2TnG
chr8_81700000to81710000andchr8_81770000to81780000,2.5,2.0,2TnG
chr6_83000000to83010000andchr6_83090000to83100000,2.5,1.5,2TnG
chr2_11200000to11210000andchr2_11250000to11260000,2.5,0.0,2TnG
chr3_103050000to103060000andchr3_103060000to103070000,2.5,2.5,2TnG
chr3_95740000to95750000andchr3_95750000to95760000,2.5,5.5,2TnG
chr17_35250000to35260000andchr17_35260000to35270000,2.5,4.0,2TnG
chr3_95660000to95670000andchr3_95670000to95680000,2.5,2.5,2TnG
chr17_36000000to36010000andchr17_36020000to36030000,2.5,0.0,2TnG
chr14_121950000to121960000andchr14_122050000to122060000,2.5,4.0,2TnG
chr12_80790000to80800000andchr12_80810000to80820000,2.5,1.5,2TnG
chr5_21410000to21420000andchr5_21420000to21430000,2.5,3.5,2TnG
chr9_32800000to32810000andchr9_32920000to32930000,2.5,0.0,2TnG
chr15_36410000to36420000andchr15_36430000to36440000,2.5,0.0,2TnG
chr3_68960000to68970000andchr3_69000000to69010000,2.5,0.0,2TnG
chr3_60470000to60480000andchr3_60480000to60490000,2.5,2.5,2TnG
chr5_121070000to121080000andchr5_121100000to121110000,2.5,1.5,2TnG
chr11_106680000to106690000andchr11_106750000to106760000,2.5,0.0,2TnG
chr1_165700000to165710000andchr1_165720000to165730000,2.5,4.0,2TnG
chr3_52260000to52270000andchr3_52840000to52850000,2.5,0.0,2TnG
chr2_58150000to58160000andchr2_58180000to58190000,2.5,4.5,2TnG
chr4_98380000to98390000andchr4_98430000to98440000,2.5,3.0,2TnG
chr15_80570000to80580000andchr15_80610000to80620000,2.5,3.5,2TnG
chr2_11190000to11200000andchr2_11210000to11220000,2.5,5.5,2TnG
chr13_73700000to73710000andchr13_73710000to73720000,2.5,4.0,2TnG
chr3_131120000to131130000andchr3_131150000to131160000,2.5,3.0,2TnG
chr3_131120000to131130000andchr3_131190000to131200000,2.5,0.0,2TnG
chr3_135720000to135730000andchr3_135730000to135740000,2.5,4.0,2TnG
chr3_137990000to138000000andchr3_138000000to138010000,2.5,2.5,2TnG
chr3_130700000to130710000andchr3_130710000to130720000,2.5,4.5,2TnG
chr3_115800000to115810000andchr3_115970000to115980000,2.5,1.5,2TnG
chr13_111860000to111870000andchr13_112000000to112010000,2.5,2.0,2TnG
chr14_27350000to27360000andchr14_27400000to27410000,2.5,2.5,2TnG
chr13_24630000to24640000andchr13_24640000to24650000,2.5,8.0,2TnG
chr2_23040000to23050000andchr2_23060000to23070000,2.5,1.5,2TnG
chr4_33290000to33300000andchr4_33300000to33310000,2.5,1.5,2TnG
chr13_24600000to24610000andchr13_24630000to24640000,2.5,0.0,2TnG
chr14_40930000to40940000andchr14_40940000to40950000,2.5,0.0,2TnG
chr13_23530000to23540000andchr13_23590000to23600000,2.5,2.0,2TnG
chr2_62350000to62360000andchr2_62390000to62400000,2.5,0.0,2TnG
chr13_73730000to73740000andchr13_73740000to73750000,2.5,3.0,2TnG
chr11_54430000to54440000andchr11_54520000to54530000,2.5,2.5,2TnG
chr6_99170000to99180000andchr6_99250000to99260000,2.5,2.0,2TnG
chr17_72940000to72950000andchr17_73160000to73170000,2.5,0.0,2TnG
