ChrA,StartA,EndA,ChrB,StartB,EndB,Ncontact
chr9,63560000,63570000,chr9,63580000,63590000,73.5
chr6,48650000,48660000,chr6,48670000,48680000,72.0
chr9,44780000,44790000,chr9,44790000,44800000,72.0
chr8,129100000,129110000,chr8,129110000,129120000,71.5
chr6,94610000,94620000,chr6,94630000,94640000,71.5
chr19,53490000,53500000,chr19,53510000,53520000,71.0
chr19,11560000,11570000,chr19,11570000,11580000,70.0
chr16,92810000,92820000,chr16,92820000,92830000,69.5
chr9,32500000,32510000,chr9,32510000,32520000,69.0
chr1,129120000,129130000,chr1,129130000,129140000,68.5
chr1,60950000,60960000,chr1,60960000,60970000,68.5
chr11,98340000,98350000,chr11,98350000,98360000,68.5
chr3,130810000,130820000,chr3,130820000,130830000,68.5
chr10,96070000,96080000,chr10,96080000,96090000,68.0
chr6,48640000,48650000,chr6,48650000,48660000,67.5
chr13,112580000,112590000,chr13,112590000,112600000,66.0
chr17,73280000,73290000,chr17,73290000,73300000,66.0
chr7,121210000,121220000,chr7,121220000,121230000,65.5
chr6,120030000,120040000,chr6,120060000,120070000,65.0
chr8,129350000,129360000,chr8,129370000,129380000,64.5
chr16,43660000,43670000,chr16,43690000,43700000,64.5
chr2,11540000,11550000,chr2,11550000,11560000,64.0
chr7,121220000,121230000,chr7,121230000,121240000,64.0
chr7,111430000,111440000,chr7,111440000,111450000,64.0
chr8,26700000,26710000,chr8,26710000,26720000,63.5
chr1,69800000,69810000,chr1,69810000,69820000,63.5
chr17,71190000,71200000,chr17,71200000,71210000,63.5
chr12,86780000,86790000,chr12,86790000,86800000,63.5
chr6,129160000,129170000,chr6,129180000,129190000,63.0
chr3,103660000,103670000,chr3,103670000,103680000,62.5
chr2,11550000,11560000,chr2,11560000,11570000,62.5
chr10,80150000,80160000,chr10,80160000,80170000,62.0
chr10,18720000,18730000,chr10,18730000,18740000,62.0
chr7,80750000,80760000,chr7,80760000,80770000,62.0
chr15,59960000,59970000,chr15,59970000,59980000,62.0
chr9,32710000,32720000,chr9,32730000,32740000,61.5
chr17,26640000,26650000,chr17,26700000,26710000,60.5
chr10,12520000,12530000,chr10,12530000,12540000,60.0
chr1,140030000,140040000,chr1,140040000,140050000,59.5
chr5,37440000,37450000,chr5,37450000,37460000,59.0
chr11,106520000,106530000,chr11,106530000,106540000,58.5
chr2,11120000,11130000,chr2,11130000,11140000,58.5
chr14,79920000,79930000,chr14,79930000,79940000,57.5
chr8,129380000,129390000,chr8,129390000,129400000,57.5
chr6,108480000,108490000,chr6,108490000,108500000,57.5
chr6,120060000,120070000,chr6,120070000,120080000,56.5
chr10,18880000,18890000,chr10,18900000,18910000,56.0
chr1,167630000,167640000,chr1,167650000,167660000,56.0
chr6,129180000,129190000,chr6,129190000,129200000,55.5
chr17,29560000,29570000,chr17,29620000,29630000,55.0
chr4,149030000,149040000,chr4,149070000,149080000,55.0
chr7,75420000,75430000,chr7,75430000,75440000,54.5
chr4,32330000,32340000,chr4,32370000,32380000,54.5
chr2,11130000,11140000,chr2,11140000,11150000,54.0
chr7,109390000,109400000,chr7,109410000,109420000,53.5
chr2,11110000,11120000,chr2,11130000,11140000,52.5
chr11,118000000,118010000,chr11,118010000,118020000,52.5
chr3,130850000,130860000,chr3,130860000,130870000,52.0
chr6,113600000,113610000,chr6,113610000,113620000,51.5
chr14,32200000,32210000,chr14,32210000,32220000,51.0
chr2,11550000,11560000,chr2,11570000,11580000,51.0
chr12,102120000,102130000,chr12,102130000,102140000,51.0
chr18,70680000,70690000,chr18,70690000,70700000,50.5
chr19,29430000,29440000,chr19,29440000,29450000,50.5
chr14,70460000,70470000,chr14,70470000,70480000,50.5
chr10,95830000,95840000,chr10,95860000,95870000,50.0
chr15,80620000,80630000,chr15,80630000,80640000,50.0
chr2,43590000,43600000,chr2,43600000,43610000,49.0
chr10,13710000,13720000,chr10,13760000,13770000,48.5
chr8,125550000,125560000,chr8,125560000,125570000,48.5
chr13,43860000,43870000,chr13,43870000,43880000,47.5
chr6,134840000,134850000,chr6,134870000,134880000,46.5
chr1,97550000,97560000,chr1,97560000,97570000,46.5
chr1,173840000,173850000,chr1,173850000,173860000,46.5
chr13,24720000,24730000,chr13,24730000,24740000,46.5
chr10,18830000,18840000,chr10,18900000,18910000,46.5
chr10,98330000,98340000,chr10,98340000,98350000,46.0
chr10,13770000,13780000,chr10,13800000,13810000,46.0
chr3,115490000,115500000,chr3,115500000,115510000,46.0
chr17,66450000,66460000,chr17,66460000,66470000,46.0
chr9,110800000,110810000,chr9,110810000,110820000,45.5
chr10,13760000,13770000,chr10,13800000,13810000,45.5
chr15,61990000,62000000,chr15,62000000,62010000,45.5
chr19,36890000,36900000,chr19,36900000,36910000,44.5
chr1,163680000,163690000,chr1,163690000,163700000,44.0
chr17,73260000,73270000,chr17,73280000,73290000,44.0
chr6,48650000,48660000,chr6,48680000,48690000,44.0
chr1,182290000,182300000,chr1,182330000,182340000,43.5
chr1,69640000,69650000,chr1,69650000,69660000,43.5
chr19,11550000,11560000,chr19,11570000,11580000,43.0
chr6,108480000,108490000,chr6,108500000,108510000,43.0
chr1,108490000,108500000,chr1,108500000,108510000,42.5
chr10,13680000,13690000,chr10,13760000,13770000,42.5
chr10,19290000,19300000,chr10,19300000,19310000,42.5
chr17,35390000,35400000,chr17,35400000,35410000,42.5
chr3,130710000,130720000,chr3,130720000,130730000,42.5
chr10,42600000,42610000,chr10,42610000,42620000,42.0
chr10,13680000,13690000,chr10,13710000,13720000,42.0
chr17,88450000,88460000,chr17,88460000,88470000,42.0
chr14,28180000,28190000,chr14,28190000,28200000,42.0
chr17,47640000,47650000,chr17,47660000,47670000,42.0
chr4,32340000,32350000,chr4,32370000,32380000,42.0
chr11,107300000,107310000,chr11,107310000,107320000,42.0
chr6,31130000,31140000,chr6,31140000,31150000,42.0
chr7,132630000,132640000,chr7,132650000,132660000,41.5
chr4,136910000,136920000,chr4,136920000,136930000,41.5
chr1,60810000,60820000,chr1,60830000,60840000,41.5
chr18,75570000,75580000,chr18,75580000,75590000,41.5
chr7,75390000,75400000,chr7,75400000,75410000,41.0
chr10,96050000,96060000,chr10,96060000,96070000,41.0
chr19,57420000,57430000,chr19,57430000,57440000,41.0
chr8,35170000,35180000,chr8,35200000,35210000,40.5
chr6,108490000,108500000,chr6,108500000,108510000,40.5
chr16,23980000,23990000,chr16,23990000,24000000,40.0
chr2,70870000,70880000,chr2,70880000,70890000,40.0
chr1,53850000,53860000,chr1,53900000,53910000,39.5
chr11,118080000,118090000,chr11,118090000,118100000,39.5
chr19,25120000,25130000,chr19,25130000,25140000,39.5
chr10,19220000,19230000,chr10,19290000,19300000,39.0
chr6,48630000,48640000,chr6,48670000,48680000,39.0
chr6,31060000,31070000,chr6,31070000,31080000,39.0
chr1,165990000,166000000,chr1,166060000,166070000,39.0
chr7,80670000,80680000,chr7,80760000,80770000,39.0
chr8,84010000,84020000,chr8,84020000,84030000,39.0
chr1,36310000,36320000,chr1,36320000,36330000,39.0
chr12,52940000,52950000,chr12,52960000,52970000,38.5
chr1,182310000,182320000,chr1,182330000,182340000,38.5
chr9,114350000,114360000,chr9,114360000,114370000,38.5
chr7,82920000,82930000,chr7,82940000,82950000,38.5
chr10,96050000,96060000,chr10,96070000,96080000,38.5
chr10,42580000,42590000,chr10,42610000,42620000,38.0
chr16,91440000,91450000,chr16,91460000,91470000,38.0
chr19,11560000,11570000,chr19,11590000,11600000,38.0
chr17,26640000,26650000,chr17,26660000,26670000,38.0
chr19,53490000,53500000,chr19,53610000,53620000,38.0
chr14,75570000,75580000,chr14,75590000,75600000,38.0
chr10,67700000,67710000,chr10,67710000,67720000,38.0
chr17,31340000,31350000,chr17,31360000,31370000,38.0
chr6,117840000,117850000,chr6,117850000,117860000,38.0
chr16,52120000,52130000,chr16,52140000,52150000,38.0
chr15,59940000,59950000,chr15,59960000,59970000,38.0
chr10,18780000,18790000,chr10,18890000,18900000,37.5
chr13,48600000,48610000,chr13,48610000,48620000,37.5
chr2,128200000,128210000,chr2,128210000,128220000,37.0
chr10,18780000,18790000,chr10,18830000,18840000,37.0
chr1,138500000,138510000,chr1,138510000,138520000,37.0
chr4,43490000,43500000,chr4,43500000,43510000,36.5
chr19,11430000,11440000,chr19,11440000,11450000,36.5
chr13,5840000,5850000,chr13,5860000,5870000,36.5
chr2,58000000,58010000,chr2,58030000,58040000,36.5
chr2,58010000,58020000,chr2,58030000,58040000,36.5
chr13,24700000,24710000,chr13,24730000,24740000,36.5
chr14,122330000,122340000,chr14,122350000,122360000,36.5
chr2,11540000,11550000,chr2,11560000,11570000,36.0
chr1,127330000,127340000,chr1,127360000,127370000,36.0
chr12,85560000,85570000,chr12,85580000,85590000,35.5
chr1,52060000,52070000,chr1,52070000,52080000,35.5
chr6,99200000,99210000,chr6,99210000,99220000,35.5
chr6,129130000,129140000,chr6,129180000,129190000,35.5
chr10,96060000,96070000,chr10,96070000,96080000,35.0
chr6,134870000,134880000,chr6,134890000,134900000,35.0
chr10,18820000,18830000,chr10,18830000,18840000,35.0
chr2,30910000,30920000,chr2,30930000,30940000,35.0
chr1,53830000,53840000,chr1,53850000,53860000,35.0
chr1,60930000,60940000,chr1,60960000,60970000,35.0
chr6,149080000,149090000,chr6,149090000,149100000,35.0
chr16,75890000,75900000,chr16,75900000,75910000,34.5
chr10,95860000,95870000,chr10,95870000,95880000,34.5
chr11,106530000,106540000,chr11,106540000,106550000,34.0
chr9,44370000,44380000,chr9,44380000,44390000,34.0
chr8,125520000,125530000,chr8,125560000,125570000,34.0
chr15,6520000,6530000,chr15,6540000,6550000,34.0
chr2,11120000,11130000,chr2,11140000,11150000,34.0
chr6,48630000,48640000,chr6,48650000,48660000,34.0
chr7,54260000,54270000,chr7,54270000,54280000,34.0
chr9,32510000,32520000,chr9,32730000,32740000,33.5
chr6,48630000,48640000,chr6,48640000,48650000,33.5
chr1,53830000,53840000,chr1,53900000,53910000,33.0
chr11,87230000,87240000,chr11,87240000,87250000,33.0
chr1,146140000,146150000,chr1,146150000,146160000,33.0
chr10,19210000,19220000,chr10,19290000,19300000,33.0
chr1,182260000,182270000,chr1,182290000,182300000,33.0
chr4,107970000,107980000,chr4,107990000,108000000,32.5
chr1,129110000,129120000,chr1,129120000,129130000,32.5
chr11,106610000,106620000,chr11,106630000,106640000,32.5
chr4,32420000,32430000,chr4,32430000,32440000,32.5
chr13,24700000,24710000,chr13,24720000,24730000,32.5
chr6,129130000,129140000,chr6,129160000,129170000,32.5
chr19,11430000,11440000,chr19,11550000,11560000,32.0
chr17,29390000,29400000,chr17,29400000,29410000,32.0
chr6,70770000,70780000,chr6,70790000,70800000,32.0
chr19,11570000,11580000,chr19,11580000,11590000,32.0
chr19,60000000,60010000,chr19,60010000,60020000,32.0
chr10,13680000,13690000,chr10,13770000,13780000,32.0
chr14,54830000,54840000,chr14,54850000,54860000,32.0
chr16,76330000,76340000,chr16,76350000,76360000,32.0
chr7,80690000,80700000,chr7,80760000,80770000,32.0
chr1,182260000,182270000,chr1,182330000,182340000,32.0
chr1,90540000,90550000,chr1,90550000,90560000,31.5
chr1,53850000,53860000,chr1,53860000,53870000,31.5
chr4,32370000,32380000,chr4,32420000,32430000,31.5
chr9,32500000,32510000,chr9,32530000,32540000,31.5
chr7,80690000,80700000,chr7,80750000,80760000,31.5
chr3,130810000,130820000,chr3,130850000,130860000,31.0
chr2,11540000,11550000,chr2,11570000,11580000,31.0
chr11,54330000,54340000,chr11,54340000,54350000,31.0
chr19,11560000,11570000,chr19,11580000,11590000,31.0
chr17,71830000,71840000,chr17,71840000,71850000,30.5
chr7,80670000,80680000,chr7,80690000,80700000,30.5
chr16,23220000,23230000,chr16,23230000,23240000,30.5
chr13,3520000,3530000,chr13,3530000,3540000,30.5
chr10,18820000,18830000,chr10,18900000,18910000,30.0
chr1,60800000,60810000,chr1,60830000,60840000,30.0
chr10,95830000,95840000,chr10,95870000,95880000,30.0
chr11,3220000,3230000,chr11,3230000,3240000,30.0
chr7,75390000,75400000,chr7,75420000,75430000,30.0
chr1,140040000,140050000,chr1,140070000,140080000,29.5
chr6,50320000,50330000,chr6,50330000,50340000,29.5
chr6,31070000,31080000,chr6,31100000,31110000,29.5
chr1,58760000,58770000,chr1,58770000,58780000,29.5
chr9,32530000,32540000,chr9,32730000,32740000,29.0
chr17,47640000,47650000,chr17,47670000,47680000,29.0
chr19,11580000,11590000,chr19,11590000,11600000,29.0
chr5,101010000,101020000,chr5,101020000,101030000,29.0
chr19,53600000,53610000,chr19,53610000,53620000,29.0
chr1,129110000,129120000,chr1,129130000,129140000,29.0
chr2,11110000,11120000,chr2,11140000,11150000,29.0
chr15,66620000,66630000,chr15,66690000,66700000,29.0
chr4,102180000,102190000,chr4,102240000,102250000,28.5
chr3,36750000,36760000,chr3,36760000,36770000,28.5
chr19,57190000,57200000,chr19,57200000,57210000,28.5
chr16,96020000,96030000,chr16,96030000,96040000,28.5
chr1,80720000,80730000,chr1,80740000,80750000,28.5
chr10,18780000,18790000,chr10,18820000,18830000,28.5
chr11,68870000,68880000,chr11,68880000,68890000,28.5
chr15,76180000,76190000,chr15,76190000,76200000,28.5
chr19,11430000,11440000,chr19,11560000,11570000,28.5
chr2,117130000,117140000,chr2,117140000,117150000,28.5
chr2,102700000,102710000,chr2,102710000,102720000,28.0
chr10,18780000,18790000,chr10,18880000,18890000,28.0
chr9,116240000,116250000,chr9,116270000,116280000,28.0
chr8,114080000,114090000,chr8,114090000,114100000,28.0
chr13,24690000,24700000,chr13,24730000,24740000,28.0
chr6,87450000,87460000,chr6,87490000,87500000,28.0
chr17,84510000,84520000,chr17,84540000,84550000,28.0
chr18,21100000,21110000,chr18,21120000,21130000,28.0
chr8,14980000,14990000,chr8,15020000,15030000,28.0
chr2,61330000,61340000,chr2,61340000,61350000,28.0
chr10,67710000,67720000,chr10,67740000,67750000,28.0
chr9,96290000,96300000,chr9,96300000,96310000,27.5
chr19,11570000,11580000,chr19,11590000,11600000,27.5
chr11,100680000,100690000,chr11,100700000,100710000,27.5
chr10,98250000,98260000,chr10,98260000,98270000,27.5
chr1,182260000,182270000,chr1,182280000,182290000,27.5
chr7,75390000,75400000,chr7,75430000,75440000,27.5
chr6,54790000,54800000,chr6,54800000,54810000,27.5
chr1,130660000,130670000,chr1,130680000,130690000,27.5
chr17,26660000,26670000,chr17,26700000,26710000,27.5
chr8,35200000,35210000,chr8,35220000,35230000,27.0
chr6,113610000,113620000,chr6,113640000,113650000,27.0
chr8,114090000,114100000,chr8,114110000,114120000,27.0
chr5,63200000,63210000,chr5,63240000,63250000,27.0
chr5,123390000,123400000,chr5,123440000,123450000,27.0
chr16,43880000,43890000,chr16,43890000,43900000,27.0
chr10,13710000,13720000,chr10,13770000,13780000,27.0
chr4,32330000,32340000,chr4,32420000,32430000,27.0
chr1,138490000,138500000,chr1,138500000,138510000,26.5
chr14,28190000,28200000,chr14,28210000,28220000,26.5
chr12,74690000,74700000,chr12,74720000,74730000,26.5
chr9,32300000,32310000,chr9,32320000,32330000,26.5
chr3,130820000,130830000,chr3,130850000,130860000,26.5
chr1,79740000,79750000,chr1,79750000,79760000,26.0
chr12,111720000,111730000,chr12,111730000,111740000,26.0
chr1,182290000,182300000,chr1,182310000,182320000,26.0
chr1,161950000,161960000,chr1,161970000,161980000,26.0
chr10,13680000,13690000,chr10,13800000,13810000,26.0
chr4,15200000,15210000,chr4,15230000,15240000,26.0
chr2,30910000,30920000,chr2,30970000,30980000,26.0
chr15,80400000,80410000,chr15,80440000,80450000,25.5
chr16,45220000,45230000,chr16,45250000,45260000,25.5
chr4,40720000,40730000,chr4,40780000,40790000,25.5
chr7,29560000,29570000,chr7,29570000,29580000,25.5
chr6,48630000,48640000,chr6,48680000,48690000,25.5
chr7,121410000,121420000,chr7,121420000,121430000,25.5
chr1,155580000,155590000,chr1,155590000,155600000,25.5
chr11,99030000,99040000,chr11,99060000,99070000,25.5
chr14,28160000,28170000,chr14,28190000,28200000,25.0
chr12,81890000,81900000,chr12,81900000,81910000,25.0
chr10,122220000,122230000,chr10,122230000,122240000,25.0
chr7,71140000,71150000,chr7,71150000,71160000,25.0
chr10,95830000,95840000,chr10,96070000,96080000,25.0
chr4,132190000,132200000,chr4,132210000,132220000,24.5
chr1,60930000,60940000,chr1,60950000,60960000,24.5
chr13,110610000,110620000,chr13,110690000,110700000,24.5
chr11,98350000,98360000,chr11,98370000,98380000,24.5
chr7,80670000,80680000,chr7,80750000,80760000,24.0
chr9,32530000,32540000,chr9,32740000,32750000,24.0
chr17,51950000,51960000,chr17,51970000,51980000,24.0
chr10,18720000,18730000,chr10,18900000,18910000,24.0
chr10,92530000,92540000,chr10,92620000,92630000,24.0
chr17,29560000,29570000,chr17,29630000,29640000,24.0
chr13,114370000,114380000,chr13,114400000,114410000,24.0
chr12,81890000,81900000,chr12,81910000,81920000,23.5
chr16,43690000,43700000,chr16,43710000,43720000,23.5
chr6,117820000,117830000,chr6,117850000,117860000,23.5
chr4,149910000,149920000,chr4,149930000,149940000,23.5
chr4,32370000,32380000,chr4,32430000,32440000,23.5
chr13,118000000,118010000,chr13,118030000,118040000,23.5
chr9,32710000,32720000,chr9,32740000,32750000,23.5
chr8,129110000,129120000,chr8,129370000,129380000,23.5
chr4,155370000,155380000,chr4,155400000,155410000,23.5
chr5,66270000,66280000,chr5,66320000,66330000,23.5
chr1,60960000,60970000,chr1,60990000,61000000,23.5
chr18,6500000,6510000,chr18,6510000,6520000,23.5
chr19,53490000,53500000,chr19,53600000,53610000,23.5
chr1,161950000,161960000,chr1,161980000,161990000,23.5
chr10,96040000,96050000,chr10,96050000,96060000,23.5
chr1,36320000,36330000,chr1,36360000,36370000,23.5
chr18,75540000,75550000,chr18,75570000,75580000,23.5
chr3,130820000,130830000,chr3,130860000,130870000,23.0
chr16,92820000,92830000,chr16,92860000,92870000,23.0
chr11,106630000,106640000,chr11,106640000,106650000,23.0
chr6,129160000,129170000,chr6,129190000,129200000,23.0
chr10,41600000,41610000,chr10,41610000,41620000,23.0
chr16,49790000,49800000,chr16,49850000,49860000,23.0
chr13,117980000,117990000,chr13,118000000,118010000,23.0
chr1,140030000,140040000,chr1,140070000,140080000,22.5
chr16,52060000,52070000,chr16,52140000,52150000,22.5
chr16,52060000,52070000,chr16,52120000,52130000,22.5
chr18,75150000,75160000,chr18,75160000,75170000,22.5
chr7,108690000,108700000,chr7,108740000,108750000,22.5
chr2,172840000,172850000,chr2,172900000,172910000,22.5
chr10,95830000,95840000,chr10,96080000,96090000,22.5
chr5,108150000,108160000,chr5,108180000,108190000,22.5
chr5,123390000,123400000,chr5,123430000,123440000,22.5
chr9,56160000,56170000,chr9,56170000,56180000,22.5
chr10,18880000,18890000,chr10,18890000,18900000,22.5
chr7,82710000,82720000,chr7,82740000,82750000,22.5
chr9,32530000,32540000,chr9,32550000,32560000,22.5
chr5,65710000,65720000,chr5,65720000,65730000,22.5
chr3,103660000,103670000,chr3,103690000,103700000,22.5
chr6,136490000,136500000,chr6,136500000,136510000,22.5
chr10,42580000,42590000,chr10,42600000,42610000,22.5
chr14,52500000,52510000,chr14,52510000,52520000,22.0
chr13,113180000,113190000,chr13,113210000,113220000,22.0
chr12,80720000,80730000,chr12,80740000,80750000,22.0
chr14,122350000,122360000,chr14,122400000,122410000,22.0
chr6,142860000,142870000,chr6,142900000,142910000,22.0
chr8,84220000,84230000,chr8,84290000,84300000,22.0
chr16,23170000,23180000,chr16,23220000,23230000,22.0
chr11,104490000,104500000,chr11,104520000,104530000,22.0
chr5,106110000,106120000,chr5,106140000,106150000,22.0
chr10,18720000,18730000,chr10,18780000,18790000,21.5
chr19,53510000,53520000,chr19,53610000,53620000,21.5
chr6,48640000,48650000,chr6,48670000,48680000,21.5
chr19,29420000,29430000,chr19,29430000,29440000,21.5
chr15,59940000,59950000,chr15,59970000,59980000,21.5
chr8,126760000,126770000,chr8,126790000,126800000,21.5
chr12,70450000,70460000,chr12,70460000,70470000,21.5
chr16,92810000,92820000,chr16,92860000,92870000,21.0
chr9,114340000,114350000,chr9,114360000,114370000,21.0
chr17,73260000,73270000,chr17,73290000,73300000,21.0
chr7,65950000,65960000,chr7,65960000,65970000,21.0
chr4,122560000,122570000,chr4,122570000,122580000,21.0
chr3,130810000,130820000,chr3,130860000,130870000,21.0
chr4,46580000,46590000,chr4,46600000,46610000,21.0
chr6,136410000,136420000,chr6,136460000,136470000,21.0
chr6,99320000,99330000,chr6,99380000,99390000,21.0
chr12,74690000,74700000,chr12,74790000,74800000,21.0
chr6,129130000,129140000,chr6,129190000,129200000,20.5
chr1,93140000,93150000,chr1,93150000,93160000,20.5
chr1,53900000,53910000,chr1,53930000,53940000,20.5
chr10,18730000,18740000,chr10,18890000,18900000,20.5
chr19,11550000,11560000,chr19,11590000,11600000,20.5
chr9,114320000,114330000,chr9,114340000,114350000,20.5
chr1,163640000,163650000,chr1,163660000,163670000,20.5
chr3,133090000,133100000,chr3,133100000,133110000,20.0
chr7,111430000,111440000,chr7,111460000,111470000,20.0
chr11,58740000,58750000,chr11,58760000,58770000,20.0
chr18,65160000,65170000,chr18,65170000,65180000,20.0
chr3,30950000,30960000,chr3,30990000,31000000,20.0
chr9,32400000,32410000,chr9,32420000,32430000,20.0
chr11,98340000,98350000,chr11,98370000,98380000,20.0
chr7,82710000,82720000,chr7,82800000,82810000,20.0
chr6,136460000,136470000,chr6,136500000,136510000,20.0
chr10,110360000,110370000,chr10,110370000,110380000,20.0
chr15,57970000,57980000,chr15,57990000,58000000,20.0
chr13,93250000,93260000,chr13,93260000,93270000,20.0
chr6,41480000,41490000,chr6,41500000,41510000,19.5
chr10,18670000,18680000,chr10,18680000,18690000,19.5
chr10,98240000,98250000,chr10,98250000,98260000,19.5
chr11,98980000,98990000,chr11,98990000,99000000,19.5
chr10,122230000,122240000,chr10,122240000,122250000,19.5
chr6,136410000,136420000,chr6,136500000,136510000,19.5
chr16,75850000,75860000,chr16,75900000,75910000,19.5
chr1,182280000,182290000,chr1,182290000,182300000,19.5
chr8,74660000,74670000,chr8,74680000,74690000,19.5
chr4,32330000,32340000,chr4,32430000,32440000,19.5
chr3,103180000,103190000,chr3,103190000,103200000,19.5
chr4,107990000,108000000,chr4,108130000,108140000,19.5
chr1,163800000,163810000,chr1,163810000,163820000,19.5
chr1,138490000,138500000,chr1,138510000,138520000,19.5
chr4,155370000,155380000,chr4,155390000,155400000,19.5
chr13,43850000,43860000,chr13,43870000,43880000,19.5
chr6,125190000,125200000,chr6,125210000,125220000,19.5
chr17,51970000,51980000,chr17,52300000,52310000,19.0
chr10,13710000,13720000,chr10,13800000,13810000,19.0
chr6,134840000,134850000,chr6,134890000,134900000,19.0
chr11,95190000,95200000,chr11,95210000,95220000,19.0
chr11,116230000,116240000,chr11,116290000,116300000,19.0
chr19,11430000,11440000,chr19,11570000,11580000,19.0
chr2,22890000,22900000,chr2,22900000,22910000,19.0
chr15,12130000,12140000,chr15,12150000,12160000,19.0
chr19,11550000,11560000,chr19,11580000,11590000,19.0
chr5,107680000,107690000,chr5,107690000,107700000,19.0
chr8,11550000,11560000,chr8,11630000,11640000,19.0
chr6,48640000,48650000,chr6,48680000,48690000,18.5
chr11,106610000,106620000,chr11,106640000,106650000,18.5
chr3,135380000,135390000,chr3,135390000,135400000,18.5
chr9,32400000,32410000,chr9,32730000,32740000,18.5
chr7,109470000,109480000,chr7,109480000,109490000,18.5
chr7,82740000,82750000,chr7,82800000,82810000,18.5
chr16,84580000,84590000,chr16,84700000,84710000,18.5
chr9,114350000,114360000,chr9,114390000,114400000,18.5
chr6,108450000,108460000,chr6,108480000,108490000,18.5
chr16,23220000,23230000,chr16,23280000,23290000,18.5
chr4,59330000,59340000,chr4,59340000,59350000,18.5
chr1,182260000,182270000,chr1,182310000,182320000,18.5
chr15,98830000,98840000,chr15,98840000,98850000,18.5
chr2,22890000,22900000,chr2,22920000,22930000,18.5
chr6,31070000,31080000,chr6,31130000,31140000,18.5
chr6,31060000,31070000,chr6,31100000,31110000,18.5
chr10,117510000,117520000,chr10,117520000,117530000,18.5
chr14,122330000,122340000,chr14,122450000,122460000,18.0
chr9,32420000,32430000,chr9,32510000,32520000,18.0
chr6,117820000,117830000,chr6,117840000,117850000,18.0
chr7,4800000,4810000,chr7,4810000,4820000,18.0
chr4,32340000,32350000,chr4,32430000,32440000,18.0
chr10,79890000,79900000,chr10,79900000,79910000,18.0
chr1,97560000,97570000,chr1,97650000,97660000,18.0
chr11,11590000,11600000,chr11,11620000,11630000,18.0
chr19,29440000,29450000,chr19,29490000,29500000,18.0
chr15,102280000,102290000,chr15,102340000,102350000,18.0
chr9,114320000,114330000,chr9,114390000,114400000,18.0
chr14,28160000,28170000,chr14,28180000,28190000,18.0
chr4,100850000,100860000,chr4,100920000,100930000,18.0
chr11,99060000,99070000,chr11,99100000,99110000,18.0
chr15,61810000,61820000,chr15,62000000,62010000,18.0
chr1,93960000,93970000,chr1,93970000,93980000,18.0
chr1,61090000,61100000,chr1,61100000,61110000,18.0
chr9,32390000,32400000,chr9,32400000,32410000,17.5
chr10,96050000,96060000,chr10,96080000,96090000,17.5
chr7,80660000,80670000,chr7,80670000,80680000,17.5
chr8,129100000,129110000,chr8,129370000,129380000,17.5
chr17,52040000,52050000,chr17,52300000,52310000,17.5
chr6,31100000,31110000,chr6,31130000,31140000,17.5
chr5,108140000,108150000,chr5,108150000,108160000,17.5
chr8,125520000,125530000,chr8,125550000,125560000,17.5
chr3,135390000,135400000,chr3,135400000,135410000,17.5
chr8,114080000,114090000,chr8,114110000,114120000,17.5
chr9,114360000,114370000,chr9,114390000,114400000,17.5
chr8,84080000,84090000,chr8,84290000,84300000,17.5
