ChrA,StartA,EndA,ChrB,StartB,EndB,Ncontact
chr13,113220000,113230000,chr13,113230000,113240000,39.0
chr2,34800000,34810000,chr2,34810000,34820000,39.0
chr1,194990000,195000000,chr1,195000000,195010000,38.5
chr19,10670000,10680000,chr19,10680000,10690000,38.5
chr18,36710000,36720000,chr18,36720000,36730000,38.5
chr5,33990000,34000000,chr5,34000000,34010000,38.5
chr6,128780000,128790000,chr6,128790000,128800000,38.0
chr11,90100000,90110000,chr11,90110000,90120000,38.0
chr17,28740000,28750000,chr17,28750000,28760000,38.0
chr10,96150000,96160000,chr10,96160000,96170000,38.0
chr15,6530000,6540000,chr15,6550000,6560000,38.0
chr9,44670000,44680000,chr9,44680000,44690000,37.5
chr2,13670000,13680000,chr2,13680000,13690000,37.5
chr7,30870000,30880000,chr7,30880000,30890000,37.5
chr7,19900000,19910000,chr7,19910000,19920000,37.5
chr5,8660000,8670000,chr5,8670000,8680000,37.5
chr2,3330000,3340000,chr2,3340000,3350000,37.0
chr2,117150000,117160000,chr2,117160000,117170000,36.5
chr2,118860000,118870000,chr2,118870000,118880000,36.5
chr15,101070000,101080000,chr15,101090000,101100000,36.5
chr11,33900000,33910000,chr11,33910000,33920000,36.0
chrX,163520000,163530000,chrX,163530000,163540000,36.0
chr14,45650000,45660000,chr14,45660000,45670000,36.0
chr7,105840000,105850000,chr7,105850000,105860000,36.0
chr14,41760000,41770000,chr14,41770000,41780000,36.0
chr4,125770000,125780000,chr4,125780000,125790000,35.5
chr16,35930000,35940000,chr16,35940000,35950000,35.5
chr8,26680000,26690000,chr8,26730000,26740000,35.5
chr6,122760000,122770000,chr6,122770000,122780000,35.5
chr7,19890000,19900000,chr7,19900000,19910000,35.0
chr5,22890000,22900000,chr5,22920000,22930000,34.5
chr1,193210000,193220000,chr1,193220000,193230000,34.5
chr4,94710000,94720000,chr4,94720000,94730000,34.5
chr4,133260000,133270000,chr4,133280000,133290000,34.5
chr12,40940000,40950000,chr12,40950000,40960000,34.5
chr9,62190000,62200000,chr9,62200000,62210000,34.0
chr5,130360000,130370000,chr5,130370000,130380000,34.0
chr9,72300000,72310000,chr9,72310000,72320000,34.0
chr3,101070000,101080000,chr3,101090000,101100000,34.0
chr3,130640000,130650000,chr3,130650000,130660000,33.5
chr7,133920000,133930000,chr7,133930000,133940000,33.5
chr4,130450000,130460000,chr4,130470000,130480000,33.5
chr14,41770000,41780000,chr14,41780000,41790000,33.5
chr8,125510000,125520000,chr8,125530000,125540000,33.0
chr7,17500000,17510000,chr7,17510000,17520000,33.0
chr6,100740000,100750000,chr6,100750000,100760000,33.0
chr17,87270000,87280000,chr17,87280000,87290000,32.5
chr6,122470000,122480000,chr6,122480000,122490000,32.5
chr12,88280000,88290000,chr12,88290000,88300000,32.5
chr7,107730000,107740000,chr7,107750000,107760000,32.5
chr19,7050000,7060000,chr19,7060000,7070000,32.0
chr15,100550000,100560000,chr15,100560000,100570000,32.0
chr15,78410000,78420000,chr15,78420000,78430000,32.0
chr17,35300000,35310000,chr17,35370000,35380000,32.0
chr10,117530000,117540000,chr10,117540000,117550000,32.0
chr13,96480000,96490000,chr13,96490000,96500000,32.0
chr5,123090000,123100000,chr5,123100000,123110000,32.0
chr8,93590000,93600000,chr8,93600000,93610000,32.0
chr11,22730000,22740000,chr11,22740000,22750000,32.0
chr11,34570000,34580000,chr11,34590000,34600000,32.0
chr9,59780000,59790000,chr9,59790000,59800000,32.0
chr2,53040000,53050000,chr2,53050000,53060000,32.0
chr9,64620000,64630000,chr9,64630000,64640000,32.0
chr15,72980000,72990000,chr15,73010000,73020000,31.5
chr7,52680000,52690000,chr7,52690000,52700000,31.5
chr4,129210000,129220000,chr4,129220000,129230000,31.5
chr6,119980000,119990000,chr6,119990000,120000000,31.5
chr11,34590000,34600000,chr11,34600000,34610000,31.5
chr10,61940000,61950000,chr10,61950000,61960000,31.5
chr8,14990000,15000000,chr8,15010000,15020000,31.5
chr5,31480000,31490000,chr5,31490000,31500000,31.5
chr9,72800000,72810000,chr9,72830000,72840000,31.5
chr4,144820000,144830000,chr4,144840000,144850000,31.5
chr4,100960000,100970000,chr4,100970000,100980000,31.5
chr9,14070000,14080000,chr9,14080000,14090000,31.0
chr4,155200000,155210000,chr4,155210000,155220000,31.0
chr2,156950000,156960000,chr2,156960000,156970000,31.0
chr15,27600000,27610000,chr15,27610000,27620000,31.0
chr1,65220000,65230000,chr1,65230000,65240000,31.0
chr11,52110000,52120000,chr11,52120000,52130000,31.0
chr4,116800000,116810000,chr4,116810000,116820000,31.0
chr15,78300000,78310000,chr15,78310000,78320000,31.0
chr4,40650000,40660000,chr4,40660000,40670000,30.5
chr13,51870000,51880000,chr13,51890000,51900000,30.5
chr2,53050000,53060000,chr2,53060000,53070000,30.5
chr11,101510000,101520000,chr11,101520000,101530000,30.0
chr8,108080000,108090000,chr8,108090000,108100000,30.0
chr3,57530000,57540000,chr3,57540000,57550000,30.0
chr18,75520000,75530000,chr18,75530000,75540000,30.0
chr10,127090000,127100000,chr10,127100000,127110000,30.0
chr3,115450000,115460000,chr3,115460000,115470000,30.0
chr5,100930000,100940000,chr5,100940000,100950000,30.0
chr7,26050000,26060000,chr7,26060000,26070000,30.0
chr1,140170000,140180000,chr1,140180000,140190000,29.5
chr9,108190000,108200000,chr9,108200000,108210000,29.5
chr13,108680000,108690000,chr13,108690000,108700000,29.5
chr2,127940000,127950000,chr2,127950000,127960000,29.0
chr7,52370000,52380000,chr7,52380000,52390000,29.0
chr8,84280000,84290000,chr8,84300000,84310000,28.5
chr7,52380000,52390000,chr7,52390000,52400000,28.5
chr8,91150000,91160000,chr8,91160000,91170000,28.5
chr10,38890000,38900000,chr10,38910000,38920000,28.5
chr2,11690000,11700000,chr2,11700000,11710000,28.5
chr12,3300000,3310000,chr12,3310000,3320000,28.5
chr5,138600000,138610000,chr5,138610000,138620000,28.5
chr11,69170000,69180000,chr11,69180000,69190000,28.5
chr7,108700000,108710000,chr7,108720000,108730000,28.0
chr2,25390000,25400000,chr2,25400000,25410000,28.0
chr18,5980000,5990000,chr18,5990000,6000000,28.0
chr3,106260000,106270000,chr3,106280000,106290000,28.0
chr7,52990000,53000000,chr7,53050000,53060000,28.0
chr7,80720000,80730000,chr7,80730000,80740000,28.0
chr6,134580000,134590000,chr6,134590000,134600000,27.5
chr1,173700000,173710000,chr1,173710000,173720000,27.5
chr12,99480000,99490000,chr12,99500000,99510000,27.5
chr1,92950000,92960000,chr1,92960000,92970000,27.5
chr4,135620000,135630000,chr4,135630000,135640000,27.5
chr1,192840000,192850000,chr1,192850000,192860000,27.5
chr15,72970000,72980000,chr15,73010000,73020000,27.5
chr4,101310000,101320000,chr4,101320000,101330000,27.5
chr19,44350000,44360000,chr19,44360000,44370000,27.5
chr3,89210000,89220000,chr3,89220000,89230000,27.5
chr10,79600000,79610000,chr10,79620000,79630000,27.5
chr19,29500000,29510000,chr19,29520000,29530000,27.5
chr11,52070000,52080000,chr11,52120000,52130000,27.0
chr12,77860000,77870000,chr12,77870000,77880000,27.0
chr10,119540000,119550000,chr10,119550000,119560000,27.0
chr9,7500000,7510000,chr9,7510000,7520000,27.0
chr5,138610000,138620000,chr5,138620000,138630000,27.0
chr15,77660000,77670000,chr15,77670000,77680000,27.0
chr13,96450000,96460000,chr13,96460000,96470000,27.0
chr6,97240000,97250000,chr6,97260000,97270000,27.0
chr7,29150000,29160000,chr7,29170000,29180000,26.5
chr7,38860000,38870000,chr7,38870000,38880000,26.5
chr8,74800000,74810000,chr8,74870000,74880000,26.5
chr4,62130000,62140000,chr4,62140000,62150000,26.5
chr5,110700000,110710000,chr5,110710000,110720000,26.5
chr19,14760000,14770000,chr19,14770000,14780000,26.5
chrX,7140000,7150000,chrX,7160000,7170000,26.5
chr7,133630000,133640000,chr7,133640000,133650000,26.5
chr5,135530000,135540000,chr5,135540000,135550000,26.5
chr1,140020000,140030000,chr1,140050000,140060000,26.0
chr3,102820000,102830000,chr3,102830000,102840000,26.0
chr7,80730000,80740000,chr7,80740000,80750000,26.0
chr5,98440000,98450000,chr5,98460000,98470000,26.0
chr3,137510000,137520000,chr3,137520000,137530000,26.0
chr10,127960000,127970000,chr10,127970000,127980000,26.0
chr5,73640000,73650000,chr5,73680000,73690000,26.0
chr7,19890000,19900000,chr7,19910000,19920000,26.0
chr13,96450000,96460000,chr13,96480000,96490000,26.0
chr1,60920000,60930000,chr1,60940000,60950000,25.5
chr3,95680000,95690000,chr3,95690000,95700000,25.5
chr2,156960000,156970000,chr2,156970000,156980000,25.5
chr11,78340000,78350000,chr11,78350000,78360000,25.5
chr12,79840000,79850000,chr12,79850000,79860000,25.5
chr1,194980000,194990000,chr1,194990000,195000000,25.5
chr6,98960000,98970000,chr6,98970000,98980000,25.5
chr1,55080000,55090000,chr1,55100000,55110000,25.5
chr7,133610000,133620000,chr7,133620000,133630000,25.5
chr5,138210000,138220000,chr5,138220000,138230000,25.0
chr14,41760000,41770000,chr14,41780000,41790000,25.0
chr10,59410000,59420000,chr10,59420000,59430000,25.0
chr15,59350000,59360000,chr15,59420000,59430000,25.0
chr11,60020000,60030000,chr11,60030000,60040000,25.0
chr5,138030000,138040000,chr5,138040000,138050000,25.0
chr19,5400000,5410000,chr19,5420000,5430000,25.0
chr7,80700000,80710000,chr7,80720000,80730000,25.0
chr4,137140000,137150000,chr4,137150000,137160000,25.0
chr8,26730000,26740000,chr8,26760000,26770000,25.0
chr9,66350000,66360000,chr9,66360000,66370000,25.0
chr7,29590000,29600000,chr7,29600000,29610000,24.5
chr1,46910000,46920000,chr1,46920000,46930000,24.5
chr4,40640000,40650000,chr4,40650000,40660000,24.5
chr5,73650000,73660000,chr5,73670000,73680000,24.5
chr3,115380000,115390000,chr3,115410000,115420000,24.5
chr11,95710000,95720000,chr11,95720000,95730000,24.5
chr7,105710000,105720000,chr7,105730000,105740000,24.5
chr5,110650000,110660000,chr5,110660000,110670000,24.5
chr8,14960000,14970000,chr8,14990000,15000000,24.5
chr17,73340000,73350000,chr17,73350000,73360000,24.5
chr15,61860000,61870000,chr15,61870000,61880000,24.0
chr9,79630000,79640000,chr9,79640000,79650000,24.0
chr18,9440000,9450000,chr18,9450000,9460000,24.0
chr11,115370000,115380000,chr11,115390000,115400000,24.0
chr11,34550000,34560000,chr11,34570000,34580000,24.0
chr1,60910000,60920000,chr1,60920000,60930000,24.0
chr7,90780000,90790000,chr7,90800000,90810000,24.0
chr1,184410000,184420000,chr1,184420000,184430000,24.0
chr1,36330000,36340000,chr1,36350000,36360000,24.0
chr7,117360000,117370000,chr7,117400000,117410000,24.0
chr12,106240000,106250000,chr12,106250000,106260000,24.0
chr3,10890000,10900000,chr3,10900000,10910000,24.0
chr1,43500000,43510000,chr1,43520000,43530000,24.0
chr16,57460000,57470000,chr16,57470000,57480000,24.0
chr7,19930000,19940000,chr7,19940000,19950000,23.5
chr6,124770000,124780000,chr6,124780000,124790000,23.5
chr19,4500000,4510000,chr19,4510000,4520000,23.5
chr11,68230000,68240000,chr11,68240000,68250000,23.5
chr16,96080000,96090000,chr16,96090000,96100000,23.5
chr3,21850000,21860000,chr3,21880000,21890000,23.5
chr8,26680000,26690000,chr8,26720000,26730000,23.5
chr18,75510000,75520000,chr18,75520000,75530000,23.5
chr8,84130000,84140000,chr8,84140000,84150000,23.5
chr1,185810000,185820000,chr1,185820000,185830000,23.5
chr18,42420000,42430000,chr18,42430000,42440000,23.5
chr7,117250000,117260000,chr7,117260000,117270000,23.0
chr10,79500000,79510000,chr10,79510000,79520000,23.0
chr11,84720000,84730000,chr11,84730000,84740000,23.0
chr7,106280000,106290000,chr7,106290000,106300000,23.0
chr11,21070000,21080000,chr11,21120000,21130000,23.0
chr3,103600000,103610000,chr3,103610000,103620000,23.0
chr2,34790000,34800000,chr2,34810000,34820000,23.0
chr2,25380000,25390000,chr2,25400000,25410000,23.0
chr14,63370000,63380000,chr14,63380000,63390000,23.0
chr13,113200000,113210000,chr13,113220000,113230000,23.0
chr9,72910000,72920000,chr9,72930000,72940000,23.0
chr14,52870000,52880000,chr14,52890000,52900000,23.0
chr1,145540000,145550000,chr1,145550000,145560000,22.5
chr1,75230000,75240000,chr1,75240000,75250000,22.5
chr7,82750000,82760000,chr7,82790000,82800000,22.5
chr8,122300000,122310000,chr8,122360000,122370000,22.5
chr12,35700000,35710000,chr12,35730000,35740000,22.5
chr2,78800000,78810000,chr2,78810000,78820000,22.5
chr7,106450000,106460000,chr7,106460000,106470000,22.5
chr1,80630000,80640000,chr1,80640000,80650000,22.5
chr4,6860000,6870000,chr4,6910000,6920000,22.5
chr2,128230000,128240000,chr2,128240000,128250000,22.5
chr2,155640000,155650000,chr2,155650000,155660000,22.5
chr2,167320000,167330000,chr2,167330000,167340000,22.5
chr1,43870000,43880000,chr1,43880000,43890000,22.0
chr5,92770000,92780000,chr5,92780000,92790000,22.0
chr6,124660000,124670000,chr6,124690000,124700000,22.0
chr6,127370000,127380000,chr6,127380000,127390000,22.0
chr5,31490000,31500000,chr5,31500000,31510000,22.0
chr3,88890000,88900000,chr3,88900000,88910000,22.0
chr17,23930000,23940000,chr17,23940000,23950000,22.0
chr17,36160000,36170000,chr17,36170000,36180000,22.0
chr2,52070000,52080000,chr2,52080000,52090000,22.0
chr12,77870000,77880000,chr12,77880000,77890000,22.0
chr2,71700000,71710000,chr2,71710000,71720000,22.0
chr1,133090000,133100000,chr1,133100000,133110000,22.0
chr2,25380000,25390000,chr2,25390000,25400000,22.0
chr12,36860000,36870000,chr12,36880000,36890000,22.0
chr3,130630000,130640000,chr3,130640000,130650000,22.0
chr7,80720000,80730000,chr7,80740000,80750000,22.0
chr18,82670000,82680000,chr18,82680000,82690000,21.5
chr17,29530000,29540000,chr17,29610000,29620000,21.5
chr1,36300000,36310000,chr1,36330000,36340000,21.5
chr4,19490000,19500000,chr4,19500000,19510000,21.5
chr1,43860000,43870000,chr1,43870000,43880000,21.5
chr7,106290000,106300000,chr7,106300000,106310000,21.5
chr4,6850000,6860000,chr4,6860000,6870000,21.5
chr15,59420000,59430000,chr15,59430000,59440000,21.5
chr1,88310000,88320000,chr1,88320000,88330000,21.5
chr11,105930000,105940000,chr11,105940000,105950000,21.5
chr10,77630000,77640000,chr10,77640000,77650000,21.0
chr19,12860000,12870000,chr19,12890000,12900000,21.0
chr1,140170000,140180000,chr1,140190000,140200000,21.0
chr1,58470000,58480000,chr1,58480000,58490000,21.0
chr1,135960000,135970000,chr1,135990000,136000000,21.0
chr10,79620000,79630000,chr10,79630000,79640000,21.0
chr19,11460000,11470000,chr19,11510000,11520000,21.0
chr7,31090000,31100000,chr7,31100000,31110000,21.0
chr15,66630000,66640000,chr15,66650000,66660000,21.0
chr11,53650000,53660000,chr11,53660000,53670000,21.0
chr16,33700000,33710000,chr16,33710000,33720000,21.0
chr15,98740000,98750000,chr15,98760000,98770000,21.0
chr11,87250000,87260000,chr11,87260000,87270000,21.0
chr7,82790000,82800000,chr7,82840000,82850000,21.0
chr19,5840000,5850000,chr19,5870000,5880000,21.0
chr13,55730000,55740000,chr13,55740000,55750000,21.0
chr6,124660000,124670000,chr6,124670000,124680000,21.0
chr11,119950000,119960000,chr11,119960000,119970000,21.0
chr13,23630000,23640000,chr13,23640000,23650000,21.0
chr9,100420000,100430000,chr9,100440000,100450000,21.0
chr10,4520000,4530000,chr10,4540000,4550000,21.0
chr4,128710000,128720000,chr4,128730000,128740000,20.5
chr2,3240000,3250000,chr2,3250000,3260000,20.5
chr9,32170000,32180000,chr9,32180000,32190000,20.5
chr5,147860000,147870000,chr5,147880000,147890000,20.5
chr16,22430000,22440000,chr16,22440000,22450000,20.5
chr13,96460000,96470000,chr13,96480000,96490000,20.5
chr2,102780000,102790000,chr2,102790000,102800000,20.5
chr1,43510000,43520000,chr1,43590000,43600000,20.5
chr14,28050000,28060000,chr14,28060000,28070000,20.5
chr13,59920000,59930000,chr13,59940000,59950000,20.5
chr15,79720000,79730000,chr15,79750000,79760000,20.5
chr11,4140000,4150000,chr11,4150000,4160000,20.5
chr15,84860000,84870000,chr15,84870000,84880000,20.5
chr7,105800000,105810000,chr7,105840000,105850000,20.5
chr14,73730000,73740000,chr14,73740000,73750000,20.5
chr15,6550000,6560000,chr15,6570000,6580000,20.5
chr1,40430000,40440000,chr1,40530000,40540000,20.5
chr12,35650000,35660000,chr12,35660000,35670000,20.5
chr12,33500000,33510000,chr12,33510000,33520000,20.5
chr14,22310000,22320000,chr14,22320000,22330000,20.5
chr11,115020000,115030000,chr11,115040000,115050000,20.5
chr2,126410000,126420000,chr2,126420000,126430000,20.0
chr15,97400000,97410000,chr15,97410000,97420000,20.0
chr11,69200000,69210000,chr11,69210000,69220000,20.0
chr11,116260000,116270000,chr11,116280000,116290000,20.0
chr9,64630000,64640000,chr9,64670000,64680000,20.0
chr2,71640000,71650000,chr2,71650000,71660000,20.0
chr19,11480000,11490000,chr19,11510000,11520000,20.0
chr13,45980000,45990000,chr13,46010000,46020000,20.0
chr11,115350000,115360000,chr11,115370000,115380000,20.0
chr11,46170000,46180000,chr11,46200000,46210000,20.0
chr13,51840000,51850000,chr13,51880000,51890000,19.5
chr4,151690000,151700000,chr4,151700000,151710000,19.5
chr1,129190000,129200000,chr1,129210000,129220000,19.5
chr15,89250000,89260000,chr15,89260000,89270000,19.5
chr9,102520000,102530000,chr9,102530000,102540000,19.5
chr16,44340000,44350000,chr16,44350000,44360000,19.5
chr18,38110000,38120000,chr18,38120000,38130000,19.5
chr3,9240000,9250000,chr3,9250000,9260000,19.5
chr1,40450000,40460000,chr1,40460000,40470000,19.5
chr11,17050000,17060000,chr11,17060000,17070000,19.5
chr11,68900000,68910000,chr11,68920000,68930000,19.5
chr7,105680000,105690000,chr7,105710000,105720000,19.5
chr6,71770000,71780000,chr6,71780000,71790000,19.5
chr7,149530000,149540000,chr7,149540000,149550000,19.5
chr9,24990000,25000000,chr9,25000000,25010000,19.5
chr19,44320000,44330000,chr19,44350000,44360000,19.5
chr9,122090000,122100000,chr9,122100000,122110000,19.0
chr13,22120000,22130000,chr13,22130000,22140000,19.0
chr10,74670000,74680000,chr10,74680000,74690000,19.0
chr8,114380000,114390000,chr8,114390000,114400000,19.0
chr11,46200000,46210000,chr11,46250000,46260000,19.0
chr14,75840000,75850000,chr14,75850000,75860000,19.0
chr3,35640000,35650000,chr3,35650000,35660000,19.0
chr18,82700000,82710000,chr18,82720000,82730000,19.0
chr19,53500000,53510000,chr19,53530000,53540000,19.0
chr2,173270000,173280000,chr2,173280000,173290000,19.0
chr8,87480000,87490000,chr8,87510000,87520000,19.0
chr18,50120000,50130000,chr18,50130000,50140000,19.0
chr2,61410000,61420000,chr2,61430000,61440000,19.0
chr8,87470000,87480000,chr8,87480000,87490000,19.0
chr11,87530000,87540000,chr11,87570000,87580000,19.0
chr16,42160000,42170000,chr16,42170000,42180000,18.5
chr4,129220000,129230000,chr4,129240000,129250000,18.5
chr11,118100000,118110000,chr11,118110000,118120000,18.5
chr7,134590000,134600000,chr7,134620000,134630000,18.5
chr4,108510000,108520000,chr4,108520000,108530000,18.5
chr2,9490000,9500000,chr2,9500000,9510000,18.5
chr5,73670000,73680000,chr5,73680000,73690000,18.5
chr17,85480000,85490000,chr17,85490000,85500000,18.5
chr14,59810000,59820000,chr14,59820000,59830000,18.5
chr11,100860000,100870000,chr11,100870000,100880000,18.5
chr10,41160000,41170000,chr10,41170000,41180000,18.5
chr19,29120000,29130000,chr19,29130000,29140000,18.5
chr2,117160000,117170000,chr2,117210000,117220000,18.5
chr7,80700000,80710000,chr7,80740000,80750000,18.5
chr10,12590000,12600000,chr10,12600000,12610000,18.5
chr3,95070000,95080000,chr3,95080000,95090000,18.5
chr7,19710000,19720000,chr7,19730000,19740000,18.5
chr14,70170000,70180000,chr14,70180000,70190000,18.5
chr1,135980000,135990000,chr1,135990000,136000000,18.5
chr4,46540000,46550000,chr4,46550000,46560000,18.5
chr10,128240000,128250000,chr10,128250000,128260000,18.5
chr15,36270000,36280000,chr15,36290000,36300000,18.0
chr9,70500000,70510000,chr9,70520000,70530000,18.0
chr6,142320000,142330000,chr6,142330000,142340000,18.0
chr7,105800000,105810000,chr7,105850000,105860000,18.0
chr10,42190000,42200000,chr10,42220000,42230000,18.0
chr17,35300000,35310000,chr17,35350000,35360000,18.0
chr2,34620000,34630000,chr2,34640000,34650000,18.0
chr14,52520000,52530000,chr14,52530000,52540000,18.0
chr1,173600000,173610000,chr1,173620000,173630000,18.0
chr10,79710000,79720000,chr10,79720000,79730000,18.0
chr11,52070000,52080000,chr11,52110000,52120000,18.0
chr7,52810000,52820000,chr7,52840000,52850000,18.0
chr19,46460000,46470000,chr19,46470000,46480000,18.0
chr10,128210000,128220000,chr10,128220000,128230000,18.0
chr11,22710000,22720000,chr11,22740000,22750000,18.0
chr1,43520000,43530000,chr1,43590000,43600000,18.0
chr11,54910000,54920000,chr11,54940000,54950000,18.0
chr19,10050000,10060000,chr19,10060000,10070000,18.0
chr11,83100000,83110000,chr11,83110000,83120000,18.0
chr2,75810000,75820000,chr2,75820000,75830000,18.0
chr14,122360000,122370000,chr14,122390000,122400000,17.5
chr2,93260000,93270000,chr2,93300000,93310000,17.5
chr3,115410000,115420000,chr3,115510000,115520000,17.5
chr12,112770000,112780000,chr12,112790000,112800000,17.5
chr7,117300000,117310000,chr7,117400000,117410000,17.5
chr6,128750000,128760000,chr6,128780000,128790000,17.5
chr1,52280000,52290000,chr1,52290000,52300000,17.5
chr12,16140000,16150000,chr12,16170000,16180000,17.5
chr10,59810000,59820000,chr10,59840000,59850000,17.5
chr19,12890000,12900000,chr19,12900000,12910000,17.5
chr1,51580000,51590000,chr1,51640000,51650000,17.5
chr10,128050000,128060000,chr10,128060000,128070000,17.5
chr8,74990000,75000000,chr8,75010000,75020000,17.5
chr11,34550000,34560000,chr11,34590000,34600000,17.5
chr14,122340000,122350000,chr14,122360000,122370000,17.5
chr7,36010000,36020000,chr7,36020000,36030000,17.5
chr15,27550000,27560000,chr15,27560000,27570000,17.5
chr7,148590000,148600000,chr7,148600000,148610000,17.5
chr4,108500000,108510000,chr4,108520000,108530000,17.5
chr7,133620000,133630000,chr7,133630000,133640000,17.5
chr18,38500000,38510000,chr18,38510000,38520000,17.5
chr15,66270000,66280000,chr15,66300000,66310000,17.0
chr5,73650000,73660000,chr5,73680000,73690000,17.0
chr7,81630000,81640000,chr7,81640000,81650000,17.0
chr11,40500000,40510000,chr11,40540000,40550000,17.0
chr6,48620000,48630000,chr6,48660000,48670000,17.0
chr7,26020000,26030000,chr7,26050000,26060000,17.0
chr6,72340000,72350000,chr6,72350000,72360000,17.0
chr10,20880000,20890000,chr10,20890000,20900000,17.0
chr4,101020000,101030000,chr4,101030000,101040000,17.0
chr19,11460000,11470000,chr19,11480000,11490000,17.0
chrX,71490000,71500000,chrX,71500000,71510000,17.0
chr2,173170000,173180000,chr2,173270000,173280000,17.0
chr8,59960000,59970000,chr8,59980000,59990000,17.0
chr4,135460000,135470000,chr4,135470000,135480000,17.0
