ChrA,StartA,EndA,ChrB,StartB,EndB,Ncontact
chr2,11620000,11630000,chr2,11640000,11650000,5.0
chr8,126580000,126590000,chr8,126660000,126670000,5.0
chr1,60750000,60760000,chr1,60760000,60770000,5.0
chr13,112390000,112400000,chr13,112420000,112430000,5.0
chr14,27350000,27360000,chr14,27380000,27390000,5.0
chr6,129230000,129240000,chr6,129240000,129250000,5.0
chr11,98490000,98500000,chr11,98510000,98520000,5.0
chr9,32690000,32700000,chr9,32700000,32710000,5.0
chr11,99120000,99130000,chr11,99130000,99140000,5.0
chr1,60890000,60900000,chr1,60900000,60910000,5.0
chr17,66100000,66110000,chr17,66110000,66120000,5.0
chr4,101180000,101190000,chr4,101250000,101260000,5.0
chr4,150540000,150550000,chr4,150550000,150560000,4.5
chr4,155190000,155200000,chr4,155200000,155210000,4.5
chr8,126830000,126840000,chr8,126840000,126850000,4.5
chr12,79620000,79630000,chr12,79640000,79650000,4.5
chr5,122980000,122990000,chr5,122990000,123000000,4.5
chr4,102500000,102510000,chr4,102510000,102520000,4.5
chr19,25050000,25060000,chr19,25060000,25070000,4.5
chr12,100880000,100890000,chr12,100890000,100900000,4.5
chr4,46570000,46580000,chr4,46590000,46600000,4.5
chr13,24610000,24620000,chr13,24630000,24640000,4.5
chr2,11640000,11650000,chr2,11650000,11660000,4.5
chr3,131120000,131130000,chr3,131140000,131150000,4.5
chr14,27380000,27390000,chr14,27400000,27410000,4.5
chr14,79520000,79530000,chr14,79530000,79540000,4.5
chr1,52010000,52020000,chr1,52020000,52030000,4.5
chr1,52000000,52010000,chr1,52010000,52020000,4.5
chr16,23220000,23230000,chr16,23230000,23240000,4.5
chr19,29350000,29360000,chr19,29360000,29370000,4.5
chr11,61640000,61650000,chr11,61650000,61660000,4.5
chr11,106670000,106680000,chr11,106680000,106690000,4.5
chr10,14040000,14050000,chr10,14050000,14060000,4.5
chr1,91250000,91260000,chr1,91260000,91270000,4.5
chr7,16040000,16050000,chr7,16050000,16060000,4.5
chr6,149130000,149140000,chr6,149140000,149150000,4.5
chr6,129180000,129190000,chr6,129210000,129220000,4.5
chr10,117940000,117950000,chr10,117950000,117960000,4.5
chr10,118870000,118880000,chr10,118880000,118890000,4.5
chr11,6680000,6690000,chr11,6690000,6700000,4.5
chr1,138130000,138140000,chr1,138140000,138150000,4.5
chr8,81490000,81500000,chr8,81700000,81710000,4.5
chr6,113650000,113660000,chr6,113660000,113670000,4.5
chr1,165660000,165670000,chr1,165720000,165730000,4.5
chr4,108300000,108310000,chr4,108310000,108320000,4.0
chr6,48690000,48700000,chr6,48720000,48730000,4.0
chr10,96370000,96380000,chr10,96390000,96400000,4.0
chr7,28790000,28800000,chr7,28860000,28870000,4.0
chr7,75570000,75580000,chr7,75600000,75610000,4.0
chr15,12200000,12210000,chr15,12220000,12230000,4.0
chr5,134180000,134190000,chr5,134330000,134340000,4.0
chr11,118220000,118230000,chr11,118230000,118240000,4.0
chr14,54220000,54230000,chr14,54230000,54240000,4.0
chr14,54210000,54220000,chr14,54220000,54230000,4.0
chr10,58350000,58360000,chr10,58370000,58380000,4.0
chr9,114450000,114460000,chr9,114480000,114490000,4.0
chr10,98780000,98790000,chr10,98790000,98800000,4.0
chr11,95330000,95340000,chr11,95380000,95390000,4.0
chr9,45980000,45990000,chr9,45990000,46000000,4.0
chr13,24610000,24620000,chr13,24640000,24650000,4.0
chr11,70500000,70510000,chr11,70520000,70530000,4.0
chr6,120110000,120120000,chr6,120120000,120130000,4.0
chr10,122730000,122740000,chr10,122740000,122750000,4.0
chr8,126830000,126840000,chr8,126850000,126860000,4.0
chr10,80690000,80700000,chr10,80700000,80710000,4.0
chr6,108530000,108540000,chr6,108540000,108550000,4.0
chr8,81700000,81710000,chr8,81760000,81770000,4.0
chr11,54520000,54530000,chr11,54530000,54540000,4.0
chr12,84220000,84230000,chr12,84240000,84250000,4.0
chr8,25590000,25600000,chr8,25600000,25610000,4.0
chr4,122880000,122890000,chr4,122890000,122900000,4.0
chr12,85440000,85450000,chr12,85450000,85460000,4.0
chr10,75430000,75440000,chr10,75440000,75450000,4.0
chr1,36250000,36260000,chr1,36260000,36270000,4.0
chr18,70520000,70530000,chr18,70530000,70540000,4.0
chr16,52060000,52070000,chr16,52120000,52130000,4.0
chr16,91440000,91450000,chr16,91460000,91470000,4.0
chr19,11480000,11490000,chr19,11490000,11500000,4.0
chr2,61490000,61500000,chr2,61500000,61510000,4.0
chr1,61030000,61040000,chr1,61040000,61050000,4.0
chr10,42880000,42890000,chr10,42890000,42900000,3.5
chr2,31060000,31070000,chr2,31080000,31090000,3.5
chr5,107250000,107260000,chr5,107260000,107270000,3.5
chr5,107720000,107730000,chr5,107750000,107760000,3.5
chr3,131140000,131150000,chr3,131190000,131200000,3.5
chr3,131140000,131150000,chr3,131150000,131160000,3.5
chr10,96370000,96380000,chr10,96400000,96410000,3.5
chr1,60910000,60920000,chr1,60930000,60940000,3.5
chr11,106660000,106670000,chr11,106680000,106690000,3.5
chr10,14050000,14060000,chr10,14080000,14090000,3.5
chr1,88640000,88650000,chr1,88650000,88660000,3.5
chr10,96370000,96380000,chr10,96410000,96420000,3.5
chr3,115790000,115800000,chr3,115800000,115810000,3.5
chr1,60900000,60910000,chr1,60910000,60920000,3.5
chr6,136540000,136550000,chr6,136550000,136560000,3.5
chr10,96590000,96600000,chr10,96610000,96620000,3.5
chr8,14980000,14990000,chr8,15020000,15030000,3.5
chr10,19160000,19170000,chr10,19170000,19180000,3.5
chr1,161870000,161880000,chr1,161880000,161890000,3.5
chr4,59250000,59260000,chr4,59270000,59280000,3.5
chr7,75800000,75810000,chr7,75820000,75830000,3.5
chr1,180360000,180370000,chr1,180380000,180390000,3.5
chr4,102510000,102520000,chr4,102560000,102570000,3.5
chr6,99400000,99410000,chr6,99430000,99440000,3.5
chr7,102320000,102330000,chr7,102330000,102340000,3.5
chr17,47500000,47510000,chr17,47530000,47540000,3.5
chr4,59250000,59260000,chr4,59330000,59340000,3.5
chr2,11200000,11210000,chr2,11210000,11220000,3.5
chr1,69750000,69760000,chr1,69760000,69770000,3.5
chr4,32050000,32060000,chr4,32570000,32580000,3.5
chr17,50460000,50470000,chr17,50470000,50480000,3.5
chr13,5840000,5850000,chr13,5860000,5870000,3.5
chr5,64770000,64780000,chr5,64800000,64810000,3.5
chr7,68260000,68270000,chr7,68270000,68280000,3.5
chr5,65880000,65890000,chr5,65920000,65930000,3.5
chr7,127280000,127290000,chr7,127290000,127300000,3.5
chr13,24600000,24610000,chr13,24640000,24650000,3.5
chr16,92810000,92820000,chr16,92820000,92830000,3.5
chr2,58150000,58160000,chr2,58160000,58170000,3.5
chr7,75790000,75800000,chr7,75800000,75810000,3.5
chr6,129210000,129220000,chr6,129230000,129240000,3.5
chr10,127150000,127160000,chr10,127160000,127170000,3.5
chr6,129210000,129220000,chr6,129240000,129250000,3.5
chr1,136600000,136610000,chr1,136610000,136620000,3.5
chr6,50370000,50380000,chr6,50380000,50390000,3.5
chr1,106600000,106610000,chr1,106610000,106620000,3.5
chr9,32690000,32700000,chr9,32720000,32730000,3.5
chr1,60740000,60750000,chr1,60770000,60780000,3.5
chr15,60110000,60120000,chr15,60130000,60140000,3.5
chr14,121930000,121940000,chr14,121950000,121960000,3.5
chr10,122780000,122790000,chr10,122790000,122800000,3.5
chr15,96630000,96640000,chr15,96640000,96650000,3.5
chr6,70820000,70830000,chr6,70840000,70850000,3.5
chr18,6500000,6510000,chr18,6510000,6520000,3.5
chr6,125210000,125220000,chr6,125220000,125230000,3.5
chr9,56320000,56330000,chr9,56410000,56420000,3.5
chr1,144290000,144300000,chr1,144300000,144310000,3.5
chr1,127230000,127240000,chr1,127240000,127250000,3.5
chr9,32700000,32710000,chr9,32720000,32730000,3.5
chr1,161750000,161760000,chr1,161760000,161770000,3.5
chr11,48770000,48780000,chr11,48780000,48790000,3.5
chr18,75410000,75420000,chr18,75420000,75430000,3.5
chr1,161710000,161720000,chr1,161730000,161740000,3.5
chr10,12800000,12810000,chr10,12810000,12820000,3.5
chr11,3320000,3330000,chr11,3330000,3340000,3.5
chr2,132500000,132510000,chr2,132510000,132520000,3.5
chr16,45220000,45230000,chr16,45250000,45260000,3.5
chr14,101470000,101480000,chr14,101480000,101490000,3.5
chr1,160040000,160050000,chr1,160050000,160060000,3.5
chr5,37050000,37060000,chr5,37060000,37070000,3.0
chr1,173590000,173600000,chr1,173600000,173610000,3.0
chr1,79750000,79760000,chr1,79760000,79770000,3.0
chr10,127120000,127130000,chr10,127150000,127160000,3.0
chr1,180330000,180340000,chr1,180400000,180410000,3.0
chr6,99250000,99260000,chr6,99260000,99270000,3.0
chr10,68190000,68200000,chr10,68270000,68280000,3.0
chr12,80790000,80800000,chr12,80800000,80810000,3.0
chr4,149650000,149660000,chr4,149700000,149710000,3.0
chr6,108540000,108550000,chr6,108550000,108560000,3.0
chr1,180250000,180260000,chr1,180360000,180370000,3.0
chr12,80800000,80810000,chr12,80810000,80820000,3.0
chr1,94030000,94040000,chr1,94070000,94080000,3.0
chr17,88050000,88060000,chr17,88060000,88070000,3.0
chr10,81500000,81510000,chr10,81510000,81520000,3.0
chr6,129240000,129250000,chr6,129280000,129290000,3.0
chr11,98480000,98490000,chr11,98510000,98520000,3.0
chr7,4850000,4860000,chr7,4860000,4870000,3.0
chr5,134230000,134240000,chr5,134330000,134340000,3.0
chr4,128600000,128610000,chr4,128610000,128620000,3.0
chr10,96590000,96600000,chr10,96600000,96610000,3.0
chr11,100820000,100830000,chr11,100840000,100850000,3.0
chr6,48680000,48690000,chr6,48700000,48710000,3.0
chr5,122990000,123000000,chr5,123040000,123050000,3.0
chr6,48680000,48690000,chr6,48730000,48740000,3.0
chr17,72910000,72920000,chr17,72930000,72940000,3.0
chr6,83000000,83010000,chr6,83050000,83060000,3.0
chr10,96610000,96620000,chr10,96620000,96630000,3.0
chr11,106750000,106760000,chr11,106770000,106780000,3.0
chr11,107440000,107450000,chr11,107450000,107460000,3.0
chr7,58700000,58710000,chr7,58710000,58720000,3.0
chr1,143800000,143810000,chr1,144000000,144010000,3.0
chr11,118140000,118150000,chr11,118220000,118230000,3.0
chr6,31150000,31160000,chr6,31180000,31190000,3.0
chr5,100580000,100590000,chr5,100590000,100600000,3.0
chr11,58920000,58930000,chr11,58950000,58960000,3.0
chr1,164060000,164070000,chr1,164130000,164140000,3.0
chr12,51840000,51850000,chr12,51860000,51870000,3.0
chr10,68190000,68200000,chr10,68200000,68210000,3.0
chr14,75170000,75180000,chr14,75190000,75200000,3.0
chr13,111790000,111800000,chr13,111800000,111810000,3.0
chr1,60900000,60910000,chr1,60930000,60940000,3.0
chr8,81490000,81500000,chr8,81760000,81770000,3.0
chr2,31060000,31070000,chr2,31110000,31120000,3.0
chr14,27340000,27350000,chr14,27350000,27360000,3.0
chr14,27370000,27380000,chr14,27380000,27390000,3.0
chr1,69590000,69600000,chr1,69610000,69620000,3.0
chr1,60890000,60900000,chr1,60930000,60940000,3.0
chr10,13990000,14000000,chr10,14040000,14050000,3.0
chr10,13960000,13970000,chr10,14080000,14090000,3.0
chr14,66230000,66240000,chr14,66260000,66270000,3.0
chr10,13960000,13970000,chr10,13990000,14000000,3.0
chr2,58160000,58170000,chr2,58170000,58180000,3.0
chr8,72260000,72270000,chr8,72270000,72280000,3.0
chr2,58160000,58170000,chr2,58180000,58190000,3.0
chr8,123020000,123030000,chr8,123030000,123040000,3.0
chr19,11430000,11440000,chr19,11510000,11520000,3.0
chr16,57490000,57500000,chr16,57510000,57520000,3.0
chr8,126830000,126840000,chr8,126860000,126870000,3.0
chr3,65920000,65930000,chr3,65930000,65940000,3.0
chr9,32590000,32600000,chr9,32610000,32620000,3.0
chr15,102400000,102410000,chr15,102420000,102430000,3.0
chr9,32650000,32660000,chr9,32690000,32700000,3.0
chr19,53420000,53430000,chr19,53440000,53450000,3.0
chr1,53770000,53780000,chr1,53790000,53800000,3.0
chr9,32700000,32710000,chr9,32920000,32930000,3.0
chr10,18950000,18960000,chr10,18960000,18970000,3.0
chr6,99630000,99640000,chr6,99640000,99650000,3.0
chr8,35590000,35600000,chr8,35630000,35640000,3.0
chr13,3520000,3530000,chr13,3530000,3540000,3.0
chr10,41880000,41890000,chr10,41890000,41900000,3.0
chr10,19010000,19020000,chr10,19060000,19070000,3.0
chr7,125480000,125490000,chr7,125630000,125640000,3.0
chr4,59270000,59280000,chr4,59320000,59330000,3.0
chr4,59270000,59280000,chr4,59330000,59340000,3.0
chr13,43760000,43770000,chr13,43770000,43780000,3.0
chr13,23510000,23520000,chr13,23530000,23540000,3.0
chr4,59160000,59170000,chr4,59170000,59180000,3.0
chr10,19100000,19110000,chr10,19110000,19120000,3.0
chr1,180380000,180390000,chr1,180400000,180410000,3.0
chr4,62350000,62360000,chr4,62400000,62410000,3.0
chr19,11360000,11370000,chr19,11370000,11380000,3.0
chr1,125430000,125440000,chr1,125460000,125470000,2.5
chr10,68230000,68240000,chr10,68270000,68280000,2.5
chr1,87750000,87760000,chr1,87840000,87850000,2.5
chr9,96390000,96400000,chr9,96400000,96410000,2.5
chr6,125220000,125230000,chr6,125240000,125250000,2.5
chr1,60740000,60750000,chr1,60760000,60770000,2.5
chr1,60750000,60760000,chr1,60770000,60780000,2.5
chr9,78400000,78410000,chr9,78440000,78450000,2.5
chr9,32610000,32620000,chr9,32910000,32920000,2.5
chr9,63710000,63720000,chr9,63730000,63740000,2.5
chr9,32610000,32620000,chr9,32650000,32660000,2.5
chr1,128590000,128600000,chr1,128600000,128610000,2.5
chr8,124240000,124250000,chr8,124270000,124280000,2.5
chr9,45980000,45990000,chr9,46170000,46180000,2.5
chr7,104280000,104290000,chr7,104290000,104300000,2.5
chr10,68200000,68210000,chr10,68240000,68250000,2.5
chr18,56440000,56450000,chr18,56470000,56480000,2.5
chr9,32930000,32940000,chr9,32940000,32950000,2.5
chr7,75780000,75790000,chr7,75790000,75800000,2.5
chr9,32700000,32710000,chr9,32930000,32940000,2.5
chr11,6410000,6420000,chr11,6440000,6450000,2.5
chr1,128760000,128770000,chr1,128780000,128790000,2.5
chr7,112200000,112210000,chr7,112210000,112220000,2.5
chr1,106310000,106320000,chr1,106320000,106330000,2.5
chr6,129180000,129190000,chr6,129230000,129240000,2.5
chr6,136510000,136520000,chr6,136550000,136560000,2.5
chr7,30530000,30540000,chr7,30550000,30560000,2.5
chr8,47690000,47700000,chr8,47710000,47720000,2.5
chr8,81490000,81500000,chr8,81500000,81510000,2.5
chr10,19060000,19070000,chr10,19170000,19180000,2.5
chr10,96370000,96380000,chr10,96620000,96630000,2.5
chr10,96400000,96410000,chr10,96590000,96600000,2.5
chr10,91150000,91160000,chr10,91180000,91190000,2.5
chr8,81490000,81500000,chr8,81770000,81780000,2.5
chr8,81500000,81510000,chr8,81700000,81710000,2.5
chr10,19100000,19110000,chr10,19180000,19190000,2.5
chr1,92050000,92060000,chr1,92060000,92070000,2.5
chr6,136510000,136520000,chr6,136540000,136550000,2.5
chr6,129180000,129190000,chr6,129240000,129250000,2.5
chr7,127180000,127190000,chr7,127200000,127210000,2.5
chr8,111560000,111570000,chr8,111570000,111580000,2.5
chr8,111560000,111570000,chr8,111590000,111600000,2.5
chr10,80430000,80440000,chr10,80440000,80450000,2.5
chr10,19490000,19500000,chr10,19500000,19510000,2.5
chr8,122930000,122940000,chr8,123000000,123010000,2.5
chr10,79980000,79990000,chr10,80010000,80020000,2.5
chr6,134890000,134900000,chr6,134920000,134930000,2.5
chr1,36260000,36270000,chr1,36300000,36310000,2.5
chr10,19000000,19010000,chr10,19160000,19170000,2.5
chr7,73550000,73560000,chr7,73610000,73620000,2.5
chr8,81700000,81710000,chr8,81770000,81780000,2.5
chr6,83000000,83010000,chr6,83090000,83100000,2.5
chr2,11200000,11210000,chr2,11250000,11260000,2.5
chr3,103050000,103060000,chr3,103060000,103070000,2.5
chr3,95740000,95750000,chr3,95750000,95760000,2.5
chr17,35250000,35260000,chr17,35260000,35270000,2.5
chr3,95660000,95670000,chr3,95670000,95680000,2.5
chr17,36000000,36010000,chr17,36020000,36030000,2.5
chr14,121950000,121960000,chr14,122050000,122060000,2.5
chr12,80790000,80800000,chr12,80810000,80820000,2.5
chr5,21410000,21420000,chr5,21420000,21430000,2.5
chr9,32800000,32810000,chr9,32920000,32930000,2.5
chr15,36410000,36420000,chr15,36430000,36440000,2.5
chr3,68960000,68970000,chr3,69000000,69010000,2.5
chr3,60470000,60480000,chr3,60480000,60490000,2.5
chr5,121070000,121080000,chr5,121100000,121110000,2.5
chr11,106680000,106690000,chr11,106750000,106760000,2.5
chr1,165700000,165710000,chr1,165720000,165730000,2.5
chr3,52260000,52270000,chr3,52840000,52850000,2.5
chr2,58150000,58160000,chr2,58180000,58190000,2.5
chr4,98380000,98390000,chr4,98430000,98440000,2.5
chr15,80570000,80580000,chr15,80610000,80620000,2.5
chr2,11190000,11200000,chr2,11210000,11220000,2.5
chr13,73700000,73710000,chr13,73710000,73720000,2.5
chr3,131120000,131130000,chr3,131150000,131160000,2.5
chr3,131120000,131130000,chr3,131190000,131200000,2.5
chr3,135720000,135730000,chr3,135730000,135740000,2.5
chr3,137990000,138000000,chr3,138000000,138010000,2.5
chr3,130700000,130710000,chr3,130710000,130720000,2.5
chr3,115800000,115810000,chr3,115970000,115980000,2.5
chr13,111860000,111870000,chr13,112000000,112010000,2.5
chr14,27350000,27360000,chr14,27400000,27410000,2.5
chr13,24630000,24640000,chr13,24640000,24650000,2.5
chr2,23040000,23050000,chr2,23060000,23070000,2.5
chr4,33290000,33300000,chr4,33300000,33310000,2.5
chr13,24600000,24610000,chr13,24630000,24640000,2.5
chr14,40930000,40940000,chr14,40940000,40950000,2.5
chr13,23530000,23540000,chr13,23590000,23600000,2.5
chr2,62350000,62360000,chr2,62390000,62400000,2.5
chr13,73730000,73740000,chr13,73740000,73750000,2.5
chr11,54430000,54440000,chr11,54520000,54530000,2.5
chr6,99170000,99180000,chr6,99250000,99260000,2.5
chr17,72940000,72950000,chr17,73160000,73170000,2.5
chr2,84830000,84840000,chr2,84840000,84850000,2.5
chr6,48700000,48710000,chr6,48720000,48730000,2.5
chr2,172390000,172400000,chr2,172440000,172450000,2.5
chr15,80740000,80750000,chr15,80790000,80800000,2.5
chr1,160020000,160030000,chr1,160040000,160050000,2.5
chr6,48680000,48690000,chr6,48720000,48730000,2.5
chr16,23220000,23230000,chr16,23280000,23290000,2.5
chr16,43660000,43670000,chr16,43690000,43700000,2.5
chr16,45150000,45160000,chr16,45220000,45230000,2.5
chr6,54760000,54770000,chr6,54840000,54850000,2.5
chr2,165980000,165990000,chr2,166030000,166040000,2.5
chr11,54950000,54960000,chr11,55130000,55140000,2.5
chr11,87400000,87410000,chr11,87420000,87430000,2.5
chr16,19950000,19960000,chr16,19980000,19990000,2.5
chr11,46270000,46280000,chr11,46300000,46310000,2.5
chr6,31120000,31130000,chr6,31150000,31160000,2.5
chr15,80790000,80800000,chr15,80800000,80810000,2.5
chr6,31110000,31120000,chr6,31120000,31130000,2.5
chr6,65640000,65650000,chr6,65660000,65670000,2.5
chr11,45790000,45800000,chr11,45850000,45860000,2.5
chr11,45790000,45800000,chr11,45870000,45880000,2.5
chr6,31110000,31120000,chr6,31150000,31160000,2.5
chr17,73160000,73170000,chr17,73170000,73180000,2.5
chr11,46270000,46280000,chr11,46420000,46430000,2.5
chr6,31110000,31120000,chr6,31180000,31190000,2.5
chr6,31110000,31120000,chr6,31190000,31200000,2.5
chr11,51960000,51970000,chr11,52000000,52010000,2.5
chr16,75890000,75900000,chr16,75900000,75910000,2.0
chr9,32940000,32950000,chr9,32960000,32970000,2.0
chr10,13990000,14000000,chr10,14080000,14090000,2.0
chr16,76330000,76340000,chr16,76350000,76360000,2.0
chr9,54580000,54590000,chr9,54610000,54620000,2.0
chr19,11370000,11380000,chr19,11490000,11500000,2.0
chr10,13990000,14000000,chr10,14050000,14060000,2.0
chr10,14040000,14050000,chr10,14080000,14090000,2.0
chr16,84580000,84590000,chr16,84700000,84710000,2.0
chr14,27340000,27350000,chr14,27400000,27410000,2.0
chr19,59920000,59930000,chr19,59940000,59950000,2.0
chrX,20660000,20670000,chrX,20680000,20690000,2.0
chr10,14040000,14050000,chr10,14110000,14120000,2.0
chr14,54360000,54370000,chr14,54390000,54400000,2.0
chr9,116170000,116180000,chr9,116330000,116340000,2.0
chr9,33030000,33040000,chr9,33060000,33070000,2.0
chr9,114410000,114420000,chr9,114450000,114460000,2.0
chr19,41320000,41330000,chr19,41350000,41360000,2.0
chr15,76270000,76280000,chr15,76280000,76290000,2.0
chr15,66780000,66790000,chr15,66860000,66870000,2.0
chr9,88240000,88250000,chr9,88320000,88330000,2.0
chr9,88240000,88250000,chr9,88350000,88360000,2.0
chr9,96370000,96380000,chr9,96390000,96400000,2.0
chr19,31210000,31220000,chr19,31330000,31340000,2.0
chr15,64270000,64280000,chr15,64310000,64320000,2.0
chr13,85500000,85510000,chr13,85510000,85520000,2.0
chr9,101060000,101070000,chr9,101070000,101080000,2.0
chr16,23170000,23180000,chr16,23220000,23230000,2.0
chr14,60730000,60740000,chr14,60770000,60780000,2.0
chr9,114410000,114420000,chr9,114480000,114490000,2.0
chr19,11490000,11500000,chr19,11510000,11520000,2.0
chr15,6570000,6580000,chr15,6590000,6600000,2.0
chr14,122000000,122010000,chr14,122050000,122060000,2.0
chr9,44530000,44540000,chr9,44580000,44590000,2.0
chr19,11430000,11440000,chr19,11480000,11490000,2.0
chr9,116110000,116120000,chr9,116210000,116220000,2.0
chr14,73320000,73330000,chr14,73380000,73390000,2.0
chr10,13960000,13970000,chr10,14050000,14060000,2.0
chr14,66190000,66200000,chr14,66230000,66240000,2.0
chr15,58140000,58150000,chr15,58160000,58170000,2.0
chr11,11670000,11680000,chr11,11690000,11700000,2.0
chr13,73710000,73720000,chr13,73730000,73740000,2.0
chr19,11350000,11360000,chr19,11360000,11370000,2.0
chr17,72900000,72910000,chr17,72910000,72920000,2.0
chr10,93150000,93160000,chr10,93160000,93170000,2.0
chr10,93160000,93170000,chr10,93300000,93310000,2.0
chr11,117070000,117080000,chr11,117090000,117100000,2.0
chr11,106670000,106680000,chr11,106750000,106760000,2.0
chr11,106660000,106670000,chr11,106670000,106680000,2.0
chr19,7290000,7300000,chr19,7300000,7310000,2.0
chr10,96370000,96380000,chr10,96610000,96620000,2.0
chr11,104360000,104370000,chr11,104380000,104390000,2.0
chr10,96390000,96400000,chr10,96400000,96410000,2.0
chr11,100840000,100850000,chr11,100930000,100940000,2.0
chr10,96410000,96420000,chr10,96610000,96620000,2.0
chr19,4110000,4120000,chr19,4180000,4190000,2.0
chr10,96580000,96590000,chr10,96620000,96630000,2.0
chr17,72910000,72920000,chr17,73170000,73180000,2.0
chr17,72930000,72940000,chr17,73030000,73040000,2.0
chr17,72930000,72940000,chr17,73160000,73170000,2.0
chr10,96600000,96610000,chr10,96620000,96630000,2.0
chr17,72940000,72950000,chr17,73030000,73040000,2.0
chr11,69680000,69690000,chr11,69920000,69930000,2.0
chr17,84110000,84120000,chr17,84140000,84150000,2.0
chr10,116560000,116570000,chr10,116580000,116590000,2.0
chr16,49790000,49800000,chr16,49810000,49820000,2.0
chr11,54950000,54960000,chr11,55020000,55030000,2.0
chr18,62170000,62180000,chr18,62180000,62190000,2.0
chr11,54700000,54710000,chr11,54800000,54810000,2.0
chr11,54520000,54530000,chr11,55020000,55030000,2.0
chr11,51800000,51810000,chr11,51960000,51970000,2.0
chr18,34780000,34790000,chr18,34930000,34940000,2.0
chr11,118140000,118150000,chr11,118230000,118240000,2.0
chr17,71480000,71490000,chr17,71490000,71500000,2.0
chr13,55430000,55440000,chr13,55510000,55520000,2.0
chr11,118150000,118160000,chr11,118220000,118230000,2.0
chr13,43260000,43270000,chr13,43310000,43320000,2.0
chr13,41940000,41950000,chr13,42040000,42050000,2.0
chr10,19100000,19110000,chr10,19160000,19170000,2.0
chr19,11360000,11370000,chr19,11480000,11490000,2.0
chr10,19100000,19110000,chr10,19170000,19180000,2.0
chr13,30030000,30040000,chr13,30080000,30090000,2.0
chr10,19180000,19190000,chr10,19570000,19580000,2.0
chr16,94520000,94530000,chr16,94560000,94570000,2.0
chr11,11690000,11700000,chr11,11720000,11730000,2.0
chr10,19500000,19510000,chr10,19570000,19580000,2.0
chr13,5800000,5810000,chr13,5840000,5850000,2.0
chr12,107120000,107130000,chr12,107180000,107190000,2.0
chr10,42860000,42870000,chr10,42880000,42890000,2.0
chr19,11350000,11360000,chr19,11480000,11490000,2.0
chr17,7870000,7880000,chr17,7920000,7930000,2.0
chr12,86800000,86810000,chr12,86890000,86900000,2.0
chr19,11350000,11360000,chr19,11430000,11440000,2.0
chr10,68100000,68110000,chr10,68140000,68150000,2.0
